time,signal
2.61,0.5682
2.62,1.9147
2.63,2.8044
2.64,2.3536
2.65,2.9707
2.66,2.4438
2.67,1.9929
2.68,2.9797
2.69,2.2735
2.7,1.6296
2.71,2.5228
2.72,2.5055
2.73,3.4105
2.74,1.466
2.75,2.3422
2.76,3.0293
2.77,1.7154
2.78,1.5038
2.79,3.3084
2.8,3.8844
2.81,2.7559
2.82,3.1411
2.83,2.0733
2.84,3.5514
2.85,2.8417
2.86,3.3129
2.87,2.0345
2.88,3.4656
2.89,3.6218
2.9,2.4498
2.91,0.9134
2.92,2.0861
2.93,2.333
2.94,2.5135
2.95,1.3448
2.96,3.5616
2.97,2.1883
2.98,3.4824
2.99,3.3637
3.0,1.3666
3.01,2.5231
3.02,2.318
3.03,3.6028
3.04,4.2652
3.05,1.8678
3.06,3.2055
3.07,2.0547
3.08,2.4621
3.09,3.1963
3.1,2.6949
3.11,3.5263
3.12,1.8757
3.13,2.9009
3.14,2.267
3.15,2.7441
3.16,0.7345
3.17,2.4254
3.18,2.7088
3.19,2.9105
3.2,3.0604
3.21,2.5531
3.22,2.3411
3.23,1.0424
3.24,3.2224
3.25,1.7182
3.26,3.5992
3.27,3.7923
3.28,2.4168
3.29,2.622
3.3,2.5198
3.31,2.9861
3.32,2.5242
3.33,3.2216
3.34,3.4937
3.35,3.269
3.36,3.0546
3.37,2.2157
3.38,1.7619
3.39,3.1804
3.4,2.6402
3.41,2.988
3.42,1.9236
3.43,1.7785
3.44,1.9317
3.45,2.423
3.46,3.5873
3.47,4.2923
3.48,2.1585
3.49,0.9982
3.5,2.3621
3.51,2.0816
3.52,2.8099
3.53,3.4204
3.54,3.1671
3.55,3.5107
3.56,3.5732
3.57,2.4128
3.58,3.3903
3.59,2.4228
3.6,2.7374
3.61,3.0498
3.62,3.9074
3.63,3.3262
3.64,3.4089
3.65,5.4545
3.66,4.4088
3.67,3.7348
3.68,2.7172
3.69,3.348
3.7,3.6234
3.71,2.8387
3.72,3.1436
3.73,3.197
3.74,2.833
3.75,3.904
3.76,3.2428
3.77,4.004
3.78,3.6891
3.79,2.7421
3.8,2.4654
3.81,2.3006
3.82,3.2283
3.83,3.4428
3.84,3.6314
3.85,2.4499
3.86,3.6177
3.87,2.6677
3.88,3.2587
3.89,2.4398
3.9,4.1179
3.91,2.2586
3.92,3.4442
3.93,3.5791
3.94,4.1807
3.95,5.2164
3.96,1.111
3.97,4.6387
3.98,2.6031
3.99,3.2294
4.0,3.2436
4.01,4.7992
4.02,4.9176
4.03,6.0738
4.04,9.2314
4.05,13.72
4.06,16.461
4.07,21.0188
4.08,26.6782
4.09,38.3151
4.1,51.6241
4.11,65.2933
4.12,82.6343
4.13,106.417
4.14,130.4539
4.15,157.3688
4.16,188.2546
4.17,219.1363
4.18,252.2669
4.19,286.1839
4.2,319.8504
4.21,348.8011
4.22,376.5586
4.23,400.03
4.24,416.9091
4.25,429.7922
4.26,434.7883
4.27,434.8856
4.28,428.8445
4.29,416.6113
4.3,401.9875
4.31,381.7557
4.32,360.1183
4.33,334.9927
4.34,310.6438
4.35,283.9777
4.36,255.5444
4.37,232.1241
4.38,206.6652
4.39,182.3019
4.4,158.9997
4.41,140.056
4.42,121.7793
4.43,103.1354
4.44,89.0943
4.45,76.8851
4.46,64.3174
4.47,53.9246
4.48,44.9169
4.49,37.0265
4.5,31.6038
4.51,27.6942
4.52,21.227
4.53,17.2389
4.54,13.2443
4.55,11.8423
4.56,10.2184
4.57,9.6105
4.58,7.1303
4.59,8.2895
4.6,3.8934
4.61,5.2884
4.62,4.329
4.63,2.9847
4.64,5.0781
4.65,3.704
4.66,3.5479
4.67,3.0982
4.68,5.0566
4.69,5.1501
4.7,3.0486
4.71,3.1559
4.72,3.2885
4.73,3.1294
4.74,2.5994
4.75,2.4257
4.76,2.743
4.77,3.0283
4.78,2.7989
4.79,3.5085
4.8,3.2581
4.81,3.5648
4.82,3.8156
4.83,2.5828
4.84,3.3781
4.85,3.0165
4.86,2.7896
4.87,4.419
4.88,3.0349
4.89,2.7747
4.9,2.1079
4.91,2.8728
4.92,5.1424
4.93,4.3726
4.94,3.7179
4.95,3.3334
4.96,2.2355
4.97,2.7411
4.98,3.4211
4.99,2.7272
5.0,5.7757
5.01,4.2768
5.02,4.5556
5.03,3.4637
5.04,3.8787
5.05,4.5353
5.06,4.5328
5.07,2.5729
5.08,3.8069
5.09,2.6803
5.1,3.2521
5.11,3.8
5.12,3.2674
5.13,5.013
5.14,2.7997
5.15,3.2069
5.16,4.6429
5.17,2.4456
5.18,3.89
5.19,3.9856
5.2,3.2326
5.21,4.6988
5.22,3.4799
5.23,5.2779
5.24,5.0268
5.25,4.0318
5.26,4.2833
5.27,3.3546
5.28,4.0189
5.29,4.5405
5.3,2.89
5.31,3.4057
5.32,4.4094
5.33,2.1803
5.34,3.271
5.35,4.1266
5.36,3.06
5.37,4.492
5.38,4.0013
5.39,4.721
5.4,3.8843
5.41,5.483
5.42,4.6924
5.43,7.2621
5.44,7.687
5.45,11.7773
5.46,14.1907
5.47,21.4549
5.48,29.4002
5.49,41.0297
5.5,55.34
5.51,74.0244
5.52,94.6995
5.53,122.3492
5.54,156.9179
5.55,194.4968
5.56,236.2802
5.57,283.0345
5.58,331.9379
5.59,381.035
5.6,428.6951
5.61,478.6175
5.62,520.9199
5.63,560.3655
5.64,591.5261
5.65,614.7049
5.66,632.3047
5.67,639.0803
5.68,639.4447
5.69,629.4263
5.7,615.0759
5.71,596.2007
5.72,572.1269
5.73,542.055
5.74,512.0101
5.75,478.786
5.76,444.9436
5.77,411.3964
5.78,377.9417
5.79,344.8603
5.8,314.3015
5.81,286.9722
5.82,261.9821
5.83,238.28
5.84,216.3588
5.85,201.1305
5.86,186.978
5.87,175.1956
5.88,167.2443
5.89,163.9072
5.9,163.7786
5.91,166.206
5.92,172.1636
5.93,178.1385
5.94,186.6974
5.95,195.9692
5.96,205.6113
5.97,215.1941
5.98,222.6729
5.99,230.57
6.0,236.354
6.01,239.4447
6.02,243.1399
6.03,239.6771
6.04,237.9311
6.05,232.4383
6.06,226.7688
6.07,219.0826
6.08,209.0976
6.09,199.4121
6.1,188.858
6.11,176.7604
6.12,166.7122
6.13,153.9177
6.14,140.6116
6.15,132.4358
6.16,119.1084
6.17,107.5237
6.18,100.4648
6.19,89.3719
6.2,80.3844
6.21,71.5879
6.22,64.2078
6.23,57.1826
6.24,52.7949
6.25,46.2185
6.26,40.39
6.27,36.3653
6.28,32.2125
6.29,28.5369
6.3,24.5481
6.31,22.0378
6.32,18.8736
6.33,16.7643
6.34,16.1199
6.35,12.5481
6.36,10.2475
6.37,10.1514
6.38,10.3515
6.39,9.1416
6.4,6.5217
6.41,7.908
6.42,5.8526
6.43,5.893
6.44,5.6625
6.45,5.6121
6.46,5.2585
6.47,4.9193
6.48,4.544
6.49,4.5083
6.5,4.9152
6.51,3.3722
6.52,5.881
6.53,4.6625
6.54,5.3296
6.55,5.4856
6.56,3.7506
6.57,4.9554
6.58,3.9809
6.59,5.6592
6.6,4.2407
6.61,6.8184
6.62,3.577
6.63,3.3725
6.64,2.993
6.65,4.8377
6.66,4.4487
6.67,5.0325
6.68,5.0759
6.69,5.1525
6.7,3.5679
6.71,3.6424
6.72,3.8752
6.73,4.3813
6.74,4.6952
6.75,4.9346
6.76,4.851
6.77,4.8845
6.78,4.892
6.79,3.9947
6.8,3.8045
6.81,4.5596
6.82,4.1688
6.83,3.5529
6.84,5.582
6.85,3.0807
6.86,5.5645
6.87,4.8243
6.88,5.2918
6.89,4.5931
6.9,4.3038
6.91,4.0718
6.92,3.8692
6.93,4.0322
6.94,5.1473
6.95,5.9495
6.96,3.6166
6.97,3.6246
6.98,5.1775
6.99,4.6206
7.0,4.7965
7.01,4.0722
7.02,4.7301
7.03,5.4464
7.04,3.4464
7.05,3.5372
7.06,4.8646
7.07,5.7735
7.08,4.1044
7.09,4.2186
7.1,4.5971
7.11,4.235
7.12,3.2491
7.13,4.3233
7.14,6.2333
7.15,4.1289
7.16,6.2385
7.17,5.7475
7.18,6.0874
7.19,4.3819
7.2,4.853
7.21,3.7551
7.22,5.1279
7.23,4.6579
7.24,4.297
7.25,5.5895
7.26,4.7269
7.27,3.3614
7.28,4.9691
7.29,5.2411
7.3,4.4261
7.31,6.0161
7.32,4.1937
7.33,4.5596
7.34,4.0842
7.35,5.3289
7.36,4.2474
7.37,5.5551
7.38,4.4939
7.39,5.8339
7.4,3.3938
7.41,4.3066
7.42,5.0875
7.43,6.2979
7.44,4.592
7.45,4.7804
7.46,4.971
7.47,4.7223
7.48,5.2097
7.49,5.9347
7.5,4.2844
7.51,4.1676
7.52,5.5106
7.53,5.2468
7.54,4.9783
7.55,5.0799
7.56,5.4449
7.57,4.5055
7.58,4.4198
7.59,3.4008
7.6,4.8825
7.61,4.8024
7.62,7.1681
7.63,4.9482
7.64,6.0144
7.65,5.5707
7.66,4.6225
7.67,6.847
7.68,5.8676
7.69,4.5945
7.7,4.0459
7.71,3.9982
7.72,5.199
7.73,3.5003
7.74,4.711
7.75,5.5708
7.76,4.5201
7.77,4.9988
7.78,5.0067
7.79,4.9656
7.8,4.7005
7.81,5.4524
7.82,5.2189
7.83,3.7035
7.84,5.6085
7.85,5.3848
7.86,4.2608
7.87,4.9425
7.88,5.827
7.89,6.0254
7.9,7.0198
7.91,5.0959
7.92,4.6273
7.93,5.6441
7.94,5.6703
7.95,5.0173
7.96,4.7948
7.97,4.8874
7.98,4.6584
7.99,4.4697
8.0,4.0649
8.01,4.1155
8.02,6.2844
8.03,5.6733
8.04,5.537
8.05,5.018
8.06,5.4788
8.07,4.13
8.08,5.6062
8.09,5.5541
8.1,5.4211
8.11,4.8716
8.12,6.756
8.13,6.156
8.14,5.249
8.15,6.6799
8.16,6.0617
8.17,5.1952
8.18,4.4313
8.19,5.793
8.2,5.3211
8.21,5.0733
8.22,5.5548
8.23,2.8995
8.24,6.4788
8.25,5.7959
8.26,5.9086
8.27,5.1066
8.28,4.6313
8.29,4.8601
8.3,5.1616
8.31,4.5472
8.32,4.4573
8.33,4.3064
8.34,5.1758
8.35,5.3437
8.36,5.7341
8.37,5.5667
8.38,6.1659
8.39,6.3624
8.4,6.0625
8.41,5.4435
8.42,6.7192
8.43,6.3835
8.44,5.2061
8.45,4.8854
8.46,6.178
8.47,6.5221
8.48,5.3761
8.49,5.6651
8.5,4.664
8.51,5.6669
8.52,6.2655
8.53,6.9493
8.54,5.2681
8.55,6.2634
8.56,4.3621
8.57,5.1273
8.58,4.6977
8.59,5.1423
8.6,4.9656
8.61,4.614
8.62,5.9671
8.63,6.4618
8.64,6.1186
8.65,5.6629
8.66,5.1376
8.67,4.5319
8.68,5.4725
8.69,4.2769
8.7,3.9329
8.71,6.4118
8.72,3.7877
8.73,5.7946
8.74,6.1435
8.75,6.5487
8.76,3.9201
8.77,5.2654
8.78,5.7528
8.79,5.1012
8.8,5.5569
8.81,4.8191
8.82,6.1383
8.83,5.9489
8.84,5.572
8.85,5.087
8.86,5.4711
8.87,5.5584
8.88,4.8793
8.89,5.0345
8.9,6.1966
8.91,7.0578
8.92,5.3947
8.93,6.5662
8.94,6.6087
8.95,6.601
8.96,11.039
8.97,15.2241
8.98,21.9995
8.99,27.6165
9.0,38.1086
9.01,53.4483
9.02,70.7836
9.03,95.9103
9.04,124.3213
9.05,161.0238
9.06,200.9429
9.07,248.4992
9.08,297.4114
9.09,350.4417
9.1,405.0302
9.11,456.5499
9.12,506.4581
9.13,548.7619
9.14,588.2637
9.15,618.1172
9.16,641.1263
9.17,655.7996
9.18,664.4261
9.19,663.5329
9.2,657.8416
9.21,644.2543
9.22,630.8297
9.23,610.3096
9.24,589.1757
9.25,566.681
9.26,542.8047
9.27,515.3014
9.28,488.7693
9.29,461.8697
9.3,436.2936
9.31,407.9058
9.32,382.7757
9.33,358.5899
9.34,333.9406
9.35,310.6001
9.36,287.0036
9.37,264.9881
9.38,243.5397
9.39,224.0363
9.4,203.858
9.41,185.8882
9.42,169.505
9.43,153.5037
9.44,140.3713
9.45,126.245
9.46,114.5671
9.47,101.0899
9.48,92.3787
9.49,81.7846
9.5,73.5761
9.51,64.3611
9.52,57.6257
9.53,52.4383
9.54,47.6183
9.55,42.2417
9.56,35.8419
9.57,31.4088
9.58,30.941
9.59,25.8625
9.6,22.7879
9.61,20.6451
9.62,18.7713
9.63,15.0924
9.64,14.2843
9.65,13.4879
9.66,12.3601
9.67,11.4963
9.68,9.6648
9.69,8.6238
9.7,10.1061
9.71,8.5825
9.72,7.961
9.73,7.9734
9.74,7.8282
9.75,7.9455
9.76,6.0492
9.77,7.1722
9.78,6.7097
9.79,7.4734
9.8,4.8081
9.81,6.8442
9.82,8.6989
9.83,5.8638
9.84,6.5259
9.85,7.5855
9.86,6.0762
9.87,7.5721
9.88,6.4319
9.89,6.7259
9.9,6.3625
9.91,5.1043
9.92,6.6492
9.93,6.0054
9.94,7.0521
9.95,5.788
9.96,6.0598
9.97,5.7742
9.98,6.512
9.99,6.7918
10.0,6.283
10.01,7.0948
10.02,6.291
10.03,7.0004
10.04,6.375
10.05,6.264
10.06,6.2013
10.07,4.9266
10.08,5.6523
10.09,7.5004
10.1,6.1278
10.11,7.6149
10.12,6.504
10.13,7.2141
10.14,4.8296
10.15,6.9639
10.16,6.5566
10.17,5.9879
10.18,5.6112
10.19,6.8629
10.2,7.3726
10.21,5.6621
10.22,6.0901
10.23,5.7998
10.24,6.1502
10.25,6.4238
10.26,6.4517
10.27,7.1399
10.28,6.824
10.29,4.5012
10.3,4.8866
10.31,6.2369
10.32,5.0516
10.33,5.2413
10.34,6.9029
10.35,7.2875
10.36,4.6396
10.37,6.4927
10.38,5.1849
10.39,6.16
10.4,6.9165
10.41,6.9744
10.42,5.2248
10.43,6.4534
10.44,6.8241
10.45,6.0829
10.46,7.3972
10.47,7.0576
10.48,8.9047
10.49,7.8461
10.5,5.7773
10.51,5.8319
10.52,6.0681
10.53,7.2097
10.54,4.6958
10.55,6.0099
10.56,6.9685
10.57,6.0128
10.58,7.0674
10.59,4.8642
10.6,7.47
10.61,6.4448
10.62,7.767
10.63,6.25
10.64,6.1037
10.65,6.9929
10.66,5.7374
10.67,6.4205
10.68,8.3259
10.69,7.5683
10.7,7.9548
10.71,6.5637
10.72,6.3509
10.73,6.8293
10.74,7.1176
10.75,5.957
10.76,5.6871
10.77,7.8448
10.78,7.4161
10.79,5.8913
10.8,5.9691
10.81,6.3826
10.82,6.406
10.83,5.4268
10.84,6.7793
10.85,5.9399
10.86,6.3758
10.87,6.9651
10.88,7.4107
10.89,7.5493
10.9,7.4641
10.91,5.9836
10.92,7.5664
10.93,7.7449
10.94,8.2082
10.95,6.6323
10.96,5.3786
10.97,7.4773
10.98,7.2308
10.99,6.9699
11.0,6.6456
11.01,6.8609
11.02,7.1248
11.03,6.1014
11.04,6.3331
11.05,6.8742
11.06,7.5959
11.07,7.3908
11.08,7.0329
11.09,7.3702
11.1,5.6525
11.11,6.2722
11.12,7.7839
11.13,6.3507
11.14,6.495
11.15,7.6041
11.16,7.2823
11.17,6.6131
11.18,6.6522
11.19,6.3412
11.2,6.7199
11.21,5.0874
11.22,7.2709
11.23,7.4444
11.24,6.8472
11.25,6.235
11.26,7.3379
11.27,6.3598
11.28,7.1605
11.29,8.4004
11.3,6.0263
11.31,6.5535
11.32,5.7374
11.33,6.9329
11.34,7.0026
11.35,6.9149
11.36,6.2756
11.37,6.8118
11.38,7.3054
11.39,6.5505
11.4,6.2948
11.41,7.3549
11.42,8.5397
11.43,6.406
11.44,7.482
11.45,6.1061
11.46,7.1851
11.47,7.1265
11.48,6.6941
11.49,6.5114
11.5,6.3273
11.51,5.7571
11.52,7.8495
11.53,7.4367
11.54,6.2058
11.55,7.2179
11.56,7.2877
11.57,5.7076
11.58,7.0877
11.59,7.3271
11.6,8.6106
11.61,8.0136
11.62,8.0183
11.63,7.91
11.64,8.5512
11.65,6.9057
11.66,7.1545
11.67,7.366
11.68,7.115
11.69,8.5596
11.7,7.7695
11.71,6.6202
11.72,7.8271
11.73,6.7507
11.74,6.8932
11.75,8.1184
11.76,7.7128
11.77,8.6111
11.78,7.3305
11.79,6.5504
11.8,6.7305
11.81,7.1466
11.82,7.1319
11.83,6.6019
11.84,7.6353
11.85,7.9283
11.86,7.673
11.87,6.9279
11.88,6.2756
11.89,7.306
11.9,7.6908
11.91,6.578
11.92,6.9601
11.93,7.8083
11.94,7.2075
11.95,7.0876
11.96,7.9254
11.97,7.2833
11.98,5.8288
11.99,6.5716
12.0,7.2928
12.01,5.9888
12.02,7.4825
12.03,7.9443
12.04,7.7757
12.05,6.9637
12.06,6.4577
12.07,7.4106
12.08,7.0096
12.09,7.2247
12.1,5.8625
12.11,10.3065
12.12,7.4538
12.13,9.2919
12.14,6.2326
12.15,6.9778
12.16,7.5091
12.17,7.3358
12.18,6.7214
12.19,5.5308
12.2,7.7396
12.21,8.8429
12.22,7.478
12.23,6.1792
12.24,7.693
12.25,7.4925
12.26,8.4592
12.27,8.081
12.28,7.7603
12.29,7.3319
12.3,9.6695
12.31,8.5469
12.32,7.9081
12.33,8.1762
12.34,7.0405
12.35,8.0504
12.36,9.2276
12.37,7.8453
12.38,8.4386
12.39,7.7644
12.4,7.5285
12.41,7.8395
12.42,8.1476
12.43,8.9488
12.44,8.9895
12.45,10.01
12.46,10.2846
12.47,10.978
12.48,13.6
12.49,12.9627
12.5,14.6234
12.51,15.6427
12.52,16.7354
12.53,18.0628
12.54,20.6377
12.55,22.2565
12.56,23.3445
12.57,27.8442
12.58,28.6124
12.59,33.2713
12.6,35.2789
12.61,39.1315
12.62,43.8205
12.63,48.0113
12.64,52.0147
12.65,56.3782
12.66,61.6055
12.67,67.5722
12.68,73.0307
12.69,79.9847
12.7,86.6703
12.71,92.4461
12.72,98.4463
12.73,106.0171
12.74,112.025
12.75,121.7639
12.76,125.9617
12.77,133.3889
12.78,139.3406
12.79,145.0748
12.8,151.8168
12.81,157.7885
12.82,161.6836
12.83,165.9842
12.84,170.3972
12.85,174.5136
12.86,178.0619
12.87,178.8837
12.88,182.4051
12.89,181.1748
12.9,182.1877
12.91,181.537
12.92,182.3235
12.93,179.8361
12.94,176.8958
12.95,176.1455
12.96,170.8253
12.97,167.8988
12.98,163.3246
12.99,159.5866
13.0,155.3462
13.01,149.5529
13.02,143.854
13.03,136.9176
13.04,130.8524
13.05,124.3973
13.06,118.3347
13.07,112.9854
13.08,106.1722
13.09,102.0655
13.1,94.9108
13.11,89.2068
13.12,85.9541
13.13,77.3452
13.14,74.217
13.15,68.2571
13.16,62.7127
13.17,58.9283
13.18,53.8882
13.19,48.9791
13.2,46.3138
13.21,44.6252
13.22,39.097
13.23,37.4338
13.24,32.936
13.25,31.2884
13.26,29.3737
13.27,27.9086
13.28,23.5856
13.29,22.1568
13.3,21.0044
13.31,18.2958
13.32,19.1839
13.33,17.4345
13.34,14.8887
13.35,16.0103
13.36,14.4534
13.37,13.7696
13.38,11.5525
13.39,12.5886
13.4,12.1266
13.41,10.8527
13.42,11.0775
13.43,10.6209
13.44,10.2409
13.45,10.3384
13.46,8.3992
13.47,8.4071
13.48,10.525
13.49,8.2825
13.5,8.7671
13.51,8.1003
13.52,9.1891
13.53,7.9114
13.54,7.8064
13.55,9.4855
13.56,8.7638
13.57,9.6515
13.58,9.7561
13.59,8.7578
13.6,8.6196
13.61,7.9274
13.62,7.6319
13.63,7.0199
13.64,9.3056
13.65,7.7083
13.66,10.5417
13.67,8.6752
13.68,7.9384
13.69,8.3802
13.7,8.1923
13.71,8.8733
13.72,8.6891
13.73,9.3175
13.74,7.6897
13.75,9.1482
13.76,8.4461
13.77,7.5851
13.78,9.2014
13.79,8.0792
13.8,8.5695
13.81,8.5385
13.82,8.5927
13.83,10.6701
13.84,7.2128
13.85,9.3786
13.86,9.7781
13.87,7.5554
13.88,8.6994
13.89,9.4439
13.9,8.8446
13.91,9.7012
13.92,7.0809
13.93,8.3041
13.94,8.3742
13.95,9.4144
13.96,8.1593
13.97,6.9997
13.98,8.9374
13.99,9.6515
14.0,9.8906
14.01,7.7148
14.02,7.9902
14.03,8.5959
14.04,9.3183
14.05,8.9701
14.06,9.573
14.07,9.3796
14.08,10.2704
14.09,8.1835
14.1,9.3697
14.11,8.9274
14.12,8.3771
14.13,7.4862
14.14,9.4798
14.15,9.7747
14.16,7.617
14.17,8.9403
14.18,8.0235
14.19,9.1229
14.2,9.5008
14.21,9.1718
14.22,10.7
14.23,8.7305
14.24,8.9708
14.25,8.6857
14.26,7.7773
14.27,9.9907
14.28,7.3908
14.29,9.3034
14.3,7.45
14.31,9.9247
14.32,9.5812
14.33,8.1886
14.34,9.985
14.35,9.3756
14.36,8.8949
14.37,10.0831
14.38,8.849
14.39,9.7219
14.4,10.5303
14.41,9.1035
14.42,7.5351
14.43,8.7256
14.44,8.9216
14.45,8.0425
14.46,10.7165
14.47,9.2536
14.48,8.1107
14.49,8.3025
14.5,9.1021
14.51,10.5679
14.52,8.408
14.53,7.5093
14.54,10.0717
14.55,7.8746
14.56,10.6826
14.57,8.7288
14.58,9.6476
14.59,8.9119
14.6,8.6774
14.61,7.8525
14.62,9.4589
14.63,9.6701
14.64,8.4834
14.65,9.8044
14.66,10.1034
14.67,9.0007
14.68,9.4493
14.69,9.5403
14.7,8.6998
14.71,10.5629
14.72,10.6838
14.73,9.789
14.74,9.4103
14.75,7.9123
14.76,9.9052
14.77,10.5789
14.78,9.1133
14.79,10.6255
14.8,11.5924
14.81,9.7538
14.82,10.5313
14.83,10.3261
14.84,10.8531
14.85,11.8472
14.86,11.4608
14.87,13.3336
14.88,12.626
14.89,13.4078
14.9,11.1422
14.91,13.8082
14.92,16.721
14.93,16.3265
14.94,16.8607
14.95,17.2022
14.96,18.4103
14.97,19.784
14.98,20.5641
14.99,23.8314
15.0,23.4938
15.01,26.9533
15.02,26.9365
15.03,31.2183
15.04,32.5525
15.05,35.493
15.06,36.4226
15.07,41.3071
15.08,46.1434
15.09,48.3599
15.1,50.5497
15.11,55.4249
15.12,62.0591
15.13,63.903
15.14,69.6632
15.15,75.006
15.16,80.5764
15.17,84.9453
15.18,91.0596
15.19,98.0332
15.2,102.1879
15.21,108.5853
15.22,115.8474
15.23,122.7328
15.24,129.0771
15.25,135.021
15.26,144.0485
15.27,150.2967
15.28,155.9668
15.29,164.6566
15.3,171.5125
15.31,177.8265
15.32,183.9281
15.33,191.3548
15.34,196.4017
15.35,202.9962
15.36,208.0701
15.37,212.8718
15.38,218.3799
15.39,223.0855
15.4,227.9433
15.41,229.3114
15.42,233.5583
15.43,237.5619
15.44,238.6054
15.45,240.9535
15.46,243.229
15.47,243.7329
15.48,244.1964
15.49,242.7033
15.5,240.4699
15.51,240.2083
15.52,237.8544
15.53,235.5243
15.54,232.3144
15.55,227.8417
15.56,224.8756
15.57,220.3219
15.58,215.8101
15.59,209.9997
15.6,202.5677
15.61,198.0742
15.62,193.1432
15.63,186.0906
15.64,180.1346
15.65,171.5881
15.66,167.0856
15.67,159.9022
15.68,152.8479
15.69,146.4494
15.7,140.2818
15.71,131.6266
15.72,125.9981
