"sample","Salt","RH","mol","RH_cryst"
"FT-01","niter",63,0.01331244,90.6
"FT-01","niter",62.5,0.01331244,90.6
"FT-01","niter",62,0.01331244,90.6
"FT-01","niter",61.5,0.01331244,90.6
"FT-01","niter",61,0.01331244,90.6
"FT-01","niter",60.5,0.01331244,90.6
"FT-01","niter",60,0.01331244,90.6
"FT-01","niter",59.5,0.01331244,90.6
"FT-01","niter",59,0.01331244,90.6
"FT-01","niter",58.5,0.01331244,90.6
"FT-01","niter",58,0.01331244,90.6
"FT-01","niter",57.5,0.01331244,90.6
"FT-01","niter",57,0.01331244,90.6
"FT-01","niter",56.5,0.01331244,90.6
"FT-01","niter",56,0.01331244,90.6
"FT-01","niter",55.5,0.01331244,90.6
"FT-01","niter",55,0.01331244,90.6
"FT-01","niter",54.5,0.01331244,90.6
"FT-01","niter",54,0.01331244,90.6
"FT-01","niter",53.5,0.01331244,90.6
"FT-01","niter",53,0.01331244,90.6
"FT-01","niter",52.5,0.01331244,90.6
"FT-01","niter",52,0.01331244,90.6
"FT-01","niter",51.5,0.01331244,90.6
"FT-01","niter",51,0.01331244,90.6
"FT-01","niter",50.5,0.01331244,90.6
"FT-01","niter",50,0.01331244,90.6
"FT-01","niter",49.5,0.01331244,90.6
"FT-01","niter",49,0.01331244,90.6
"FT-01","niter",48.5,0.01331244,90.6
"FT-01","niter",48,0.01331244,90.6
"FT-01","niter",47.5,0.01331244,90.6
"FT-01","niter",47,0.01331244,90.6
"FT-01","niter",46.5,0.01331244,90.6
"FT-01","niter",46,0.01331244,90.6
"FT-01","niter",45.5,0.01331244,90.6
"FT-01","niter",45,0.01331244,90.6
"FT-01","niter",44.5,0.01331244,90.6
"FT-01","niter",44,0.01331244,90.6
"FT-01","niter",43.5,0.01331244,90.6
"FT-01","niter",43,0.01331244,90.6
"FT-01","niter",42.5,0.01331244,90.6
"FT-01","niter",42,0.01331244,90.6
"FT-01","niter",41.5,0.01331244,90.6
"FT-01","niter",41,0.01331244,90.6
"FT-01","niter",40.5,0.01331244,90.6
"FT-01","niter",40,0.01331244,90.6
"FT-01","niter",39.5,0.01331244,90.6
"FT-01","niter",39,0.01331244,90.6
"FT-01","niter",38.5,0.01331244,90.6
"FT-01","niter",38,0.01331244,90.6
"FT-01","niter",37.5,0.01331244,90.6
"FT-01","niter",37,0.01331244,90.6
"FT-01","niter",36.5,0.01331244,90.6
"FT-01","niter",36,0.01331244,90.6
"FT-01","niter",35.5,0.01331244,90.6
"FT-01","niter",35,0.01331244,90.6
"FT-01","niter",34.5,0.01331244,90.6
"FT-01","niter",34,0.01331244,90.6
"FT-01","niter",33.5,0.01331244,90.6
"FT-01","niter",33,0.01331244,90.6
"FT-01","niter",32.5,0.01331244,90.6
"FT-01","niter",32,0.01331244,90.6
"FT-01","niter",31.5,0.01331244,90.6
"FT-01","niter",31,0.01331244,90.6
"FT-01","niter",30.5,0.01331244,90.6
"FT-01","niter",30,0.01331244,90.6
"FT-01","niter",29.5,0.01331244,90.6
"FT-01","niter",29,0.01331244,90.6
"FT-01","niter",28.5,0.01331244,90.6
"FT-01","niter",28,0.01331244,90.6
"FT-01","niter",27.5,0.01331244,90.6
"FT-01","niter",27,0.01331244,90.6
"FT-01","niter",26.5,0.01331244,90.6
"FT-01","niter",26,0.01331244,90.6
"FT-01","niter",25.5,0.01331244,90.6
"FT-01","niter",25,0.01331244,90.6
"FT-01","niter",24.5,0.01331244,90.6
"FT-01","niter",24,0.01331244,90.6
"FT-01","niter",23.5,0.01331244,90.6
"FT-01","niter",23,0.01331244,90.6
"FT-01","niter",22.5,0.01331244,90.6
"FT-01","niter",22,0.01331244,90.6
"FT-01","niter",21.5,0.01331244,90.6
"FT-01","niter",21,0.01331244,90.6
"FT-01","niter",20.5,0.01331244,90.6
"FT-01","niter",20,0.01331244,90.6
"FT-01","niter",19.5,0.01331244,90.6
"FT-01","niter",19,0.01331244,90.6
"FT-01","niter",18.5,0.01331244,90.6
"FT-01","niter",18,0.01331244,90.6
"FT-01","niter",17.5,0.01331244,90.6
"FT-01","niter",17,0.01331244,90.6
"FT-01","niter",16.5,0.01331244,90.6
"FT-01","niter",16,0.01331244,90.6
"FT-01","niter",15.5,0.01331244,90.6
"FT-01","niter",15,0.01331244,90.6
"FT-01","epsomite",98,0,83.1
"FT-01","epsomite",97.5,0,83.1
"FT-01","epsomite",97,0,83.1
"FT-01","epsomite",96.5,0,83.1
"FT-01","epsomite",96,1e-08,83.1
"FT-01","epsomite",95.5,1e-08,83.1
"FT-01","epsomite",95,2e-08,83.1
"FT-01","epsomite",94.5,3e-08,83.1
"FT-01","epsomite",94,6e-08,83.1
"FT-01","epsomite",93.5,1e-07,83.1
"FT-01","epsomite",93,1.8e-07,83.1
"FT-01","epsomite",92.5,3.1e-07,83.1
"FT-01","epsomite",92,5.4e-07,83.1
"FT-01","epsomite",91.5,9.4e-07,83.1
"FT-01","epsomite",91,1.64e-06,83.1
"FT-01","epsomite",90.5,2.85e-06,83.1
"FT-01","epsomite",90,4.97e-06,83.1
"FT-01","epsomite",89.5,8.66e-06,83.1
"FT-01","epsomite",89,1.508e-05,83.1
"FT-01","epsomite",88.5,2.625e-05,83.1
"FT-01","epsomite",88,4.567e-05,83.1
"FT-01","epsomite",87.5,7.934e-05,83.1
"FT-01","epsomite",87,0.00013751,83.1
"FT-01","epsomite",86.5,0.00023739,83.1
"FT-01","epsomite",86,0.00040699,83.1
"FT-01","epsomite",85.5,0.0006897,83.1
"FT-01","epsomite",85,0.00114673,83.1
"FT-01","epsomite",84.5,0.00185018,83.1
"FT-01","epsomite",84,0.00285503,83.1
"FT-01","epsomite",83.5,0.0041474,83.1
"FT-01","epsomite",83,0.00560248,83.1
"FT-01","epsomite",82.5,0.00701445,83.1
"FT-01","epsomite",82,0.00820022,83.1
"FT-01","epsomite",81.5,0.00908099,83.1
"FT-01","epsomite",81,0.00967736,83.1
"FT-01","epsomite",80.5,0.01005628,83.1
"FT-01","epsomite",80,0.01028739,83.1
"FT-01","epsomite",79.5,0.01042485,83.1
"FT-01","epsomite",79,0.0105054,83.1
"FT-01","epsomite",78.5,0.01055217,83.1
"FT-01","epsomite",78,0.0105792,83.1
"FT-01","epsomite",77.5,0.01059476,83.1
"FT-01","epsomite",77,0.01060372,83.1
"FT-01","epsomite",76.5,0.01060886,83.1
"FT-01","epsomite",76,0.01061181,83.1
"FT-01","epsomite",75.5,0.01061351,83.1
"FT-01","epsomite",75,0.01061448,83.1
"FT-01","epsomite",74.5,0.01061504,83.1
"FT-01","epsomite",74,0.01061536,83.1
"FT-01","epsomite",73.5,0.01061555,83.1
"FT-01","epsomite",73,0.01061565,83.1
"FT-01","epsomite",72.5,0.01061571,83.1
"FT-01","epsomite",72,0.01061575,83.1
"FT-01","epsomite",71.5,0.01061577,83.1
"FT-01","epsomite",71,0.01061578,83.1
"FT-01","epsomite",70.5,0.01061578,83.1
"FT-01","epsomite",70,0.01061579,83.1
"FT-01","epsomite",69.5,0.01061579,83.1
"FT-01","epsomite",69,0.01061579,83.1
"FT-01","epsomite",68.5,0.01061579,83.1
"FT-01","epsomite",68,0.01061579,83.1
"FT-01","epsomite",67.5,0.01061579,83.1
"FT-01","epsomite",67,0.01061579,83.1
"FT-01","epsomite",66.5,0.01061579,83.1
"FT-01","epsomite",66,0.01061579,83.1
"FT-01","epsomite",65.5,0.01061579,83.1
"FT-01","epsomite",65,0.01061579,83.1
"FT-01","epsomite",64.5,0.01061579,83.1
"FT-01","epsomite",64,0.01061579,83.1
"FT-01","epsomite",63.5,0.01061579,83.1
"FT-01","epsomite",63,0.01061579,83.1
"FT-01","epsomite",62.5,0.01061579,83.1
"FT-01","epsomite",62,0.01061579,83.1
"FT-01","epsomite",61.5,0.01061579,83.1
"FT-01","epsomite",61,0.01061579,83.1
"FT-01","epsomite",60.5,0.01061579,83.1
"FT-01","epsomite",60,0.01061579,83.1
"FT-01","epsomite",59.5,0.01061579,83.1
"FT-01","epsomite",59,0.01061579,83.1
"FT-01","epsomite",58.5,0.01061579,83.1
"FT-01","epsomite",58,0.01061579,83.1
"FT-01","epsomite",57.5,0.01061579,83.1
"FT-01","epsomite",57,0.01061579,83.1
"FT-01","epsomite",56.5,0.01061579,83.1
"FT-01","epsomite",56,0.01061579,83.1
"FT-01","epsomite",55.5,0.01061579,83.1
"FT-01","epsomite",55,0.01061579,83.1
"FT-01","epsomite",54.5,0.01061579,83.1
"FT-01","epsomite",54,0.01061579,83.1
"FT-01","epsomite",53.5,0.01061579,83.1
"FT-01","epsomite",53,0.01061579,83.1
"FT-01","epsomite",52.5,0.01061579,83.1
"FT-01","epsomite",52,0.01061579,83.1
"FT-01","epsomite",51.5,0.01061579,83.1
"FT-01","epsomite",51,0.01061579,83.1
"FT-01","epsomite",50.5,0.01061579,83.1
"FT-01","epsomite",50,0.01061579,83.1
"FT-01","epsomite",49.5,0.01061579,83.1
"FT-01","epsomite",49,0.01061579,83.1
"FT-01","epsomite",48.5,0.01061579,83.1
"FT-01","epsomite",48,0.01061579,83.1
"FT-01","epsomite",47.5,0.01061579,83.1
"FT-01","epsomite",47,0.01061579,83.1
"FT-01","epsomite",46.5,0.01061579,83.1
"FT-01","epsomite",46,0.01061579,83.1
"FT-01","epsomite",45.5,0.01061579,83.1
"FT-01","epsomite",45,0.01061579,83.1
"FT-01","epsomite",44.5,0.01061579,83.1
"FT-01","epsomite",44,0.01061579,83.1
"FT-01","epsomite",43.5,0.01061579,83.1
"FT-01","epsomite",43,0.01061579,83.1
"FT-01","epsomite",42.5,0.01061579,83.1
"FT-01","epsomite",42,0.01061579,83.1
"FT-01","epsomite",41.5,0.01061579,83.1
"FT-01","epsomite",41,0.01061579,83.1
"FT-01","epsomite",40.5,0.01061579,83.1
"FT-01","epsomite",40,0.01061579,83.1
"FT-01","epsomite",39.5,0.01061579,83.1
"FT-01","epsomite",39,0.01061579,83.1
"FT-01","epsomite",38.5,0.01061579,83.1
"FT-01","epsomite",38,0.01061579,83.1
"FT-01","epsomite",37.5,0.01061579,83.1
"FT-01","epsomite",37,0.01061579,83.1
"FT-01","epsomite",36.5,0.01061579,83.1
"FT-01","epsomite",36,0.01061579,83.1
"FT-01","epsomite",35.5,0.01061579,83.1
"FT-01","epsomite",35,0.01061579,83.1
"FT-01","epsomite",34.5,0.01061579,83.1
"FT-01","epsomite",34,0.01061579,83.1
"FT-01","epsomite",33.5,0.01061579,83.1
"FT-01","epsomite",33,0.01061579,83.1
"FT-01","epsomite",32.5,0.01061579,83.1
"FT-01","epsomite",32,0.01061579,83.1
"FT-01","epsomite",31.5,0.01061579,83.1
"FT-01","epsomite",31,0.01061579,83.1
"FT-01","epsomite",30.5,0.01061579,83.1
"FT-01","epsomite",30,0.01061579,83.1
"FT-01","epsomite",29.5,0.01061579,83.1
"FT-01","epsomite",29,0.01061579,83.1
"FT-01","epsomite",28.5,0.01061579,83.1
"FT-01","epsomite",28,0.01061579,83.1
"FT-01","epsomite",27.5,0.01061579,83.1
"FT-01","epsomite",27,0.01061579,83.1
"FT-01","epsomite",26.5,0.01061579,83.1
"FT-01","epsomite",26,0.01061579,83.1
"FT-01","epsomite",25.5,0.01061579,83.1
"FT-01","epsomite",25,0.01061579,83.1
"FT-01","epsomite",24.5,0.01061579,83.1
"FT-01","epsomite",24,0.01061579,83.1
"FT-01","epsomite",23.5,0.01061579,83.1
"FT-01","epsomite",23,0.01061579,83.1
"FT-01","epsomite",22.5,0.01061579,83.1
"FT-01","epsomite",22,0.01061579,83.1
"FT-01","epsomite",21.5,0.01061579,83.1
"FT-01","epsomite",21,0.01061579,83.1
"FT-01","epsomite",20.5,0.01061579,83.1
"FT-01","epsomite",20,0.01061579,83.1
"FT-01","epsomite",19.5,0.01061579,83.1
"FT-01","epsomite",19,0.01061579,83.1
"FT-01","epsomite",18.5,0.01061579,83.1
"FT-01","epsomite",18,0.01061579,83.1
"FT-01","epsomite",17.5,0.01061579,83.1
"FT-01","epsomite",17,0.01061579,83.1
"FT-01","epsomite",16.5,0.01061579,83.1
"FT-01","epsomite",16,0.01061579,83.1
"FT-01","epsomite",15.5,0.01061579,83.1
"FT-01","epsomite",15,0.01061579,83.1
"FT-01","halite",98,0,64.3
"FT-01","halite",97.5,0,64.3
"FT-01","halite",97,0,64.3
"FT-01","halite",96.5,0,64.3
"FT-01","halite",96,0,64.3
"FT-01","halite",95.5,0,64.3
"FT-01","halite",95,0,64.3
"FT-01","halite",94.5,0,64.3
"FT-01","halite",94,0,64.3
"FT-01","halite",93.5,0,64.3
"FT-01","halite",93,0,64.3
"FT-01","halite",92.5,0,64.3
"FT-01","halite",92,0,64.3
"FT-01","halite",91.5,0,64.3
"FT-01","halite",91,0,64.3
"FT-01","halite",90.5,0,64.3
"FT-01","halite",90,0,64.3
"FT-01","halite",89.5,0,64.3
"FT-01","halite",89,0,64.3
"FT-01","halite",88.5,0,64.3
"FT-01","halite",88,0,64.3
"FT-01","halite",87.5,0,64.3
"FT-01","halite",87,0,64.3
"FT-01","halite",86.5,0,64.3
"FT-01","halite",86,0,64.3
"FT-01","halite",85.5,0,64.3
"FT-01","halite",85,0,64.3
"FT-01","halite",84.5,0,64.3
"FT-01","halite",84,0,64.3
"FT-01","halite",83.5,0,64.3
"FT-01","halite",83,0,64.3
"FT-01","halite",82.5,0,64.3
"FT-01","halite",82,0,64.3
"FT-01","halite",81.5,0,64.3
"FT-01","halite",81,0,64.3
"FT-01","halite",80.5,1e-08,64.3
"FT-01","halite",80,1e-08,64.3
"FT-01","halite",79.5,2e-08,64.3
"FT-01","halite",79,4e-08,64.3
"FT-01","halite",78.5,6e-08,64.3
"FT-01","halite",78,1.1e-07,64.3
"FT-01","halite",77.5,1.9e-07,64.3
"FT-01","halite",77,3.3e-07,64.3
"FT-01","halite",76.5,5.8e-07,64.3
"FT-01","halite",76,1.01e-06,64.3
"FT-01","halite",75.5,1.77e-06,64.3
"FT-01","halite",75,3.08e-06,64.3
"FT-01","halite",74.5,5.36e-06,64.3
"FT-01","halite",74,9.34e-06,64.3
"FT-01","halite",73.5,1.629e-05,64.3
"FT-01","halite",73,2.839e-05,64.3
"FT-01","halite",72.5,4.947e-05,64.3
"FT-01","halite",72,8.622e-05,64.3
"FT-01","halite",71.5,0.00015025,64.3
"FT-01","halite",71,0.00026181,64.3
"FT-01","halite",70.5,0.00045611,64.3
"FT-01","halite",70,0.00079435,64.3
"FT-01","halite",69.5,0.00138266,64.3
"FT-01","halite",69,0.00240434,64.3
"FT-01","halite",68.5,0.00417391,64.3
"FT-01","halite",68,0.00722474,64.3
"FT-01","halite",67.5,0.01244299,64.3
"FT-01","halite",67,0.0212486,64.3
"FT-01","halite",66.5,0.03577395,64.3
"FT-01","halite",66,0.05885932,64.3
"FT-01","halite",65.5,0.09346459,64.3
"FT-01","halite",65,0.14104198,64.3
"FT-01","halite",64.5,0.19923001,64.3
"FT-01","halite",64,0.2610137,64.3
"FT-01","halite",63.5,0.31750711,64.3
"FT-01","halite",63,0.36252649,64.3
"FT-01","halite",62.5,0.39463073,64.3
"FT-01","halite",62,0.41575518,64.3
"FT-01","halite",61.5,0.4289288,64.3
"FT-01","halite",61,0.43687109,64.3
"FT-01","halite",60.5,0.44156223,64.3
"FT-01","halite",60,0.44429955,64.3
"FT-01","halite",59.5,0.44588547,64.3
"FT-01","halite",59,0.44680053,64.3
"FT-01","halite",58.5,0.44732724,64.3
"FT-01","halite",58,0.44763,64.3
"FT-01","halite",57.5,0.4478039,64.3
"FT-01","halite",57,0.44790373,64.3
"FT-01","halite",56.5,0.44796103,64.3
"FT-01","halite",56,0.44799392,64.3
"FT-01","halite",55.5,0.44801279,64.3
"FT-01","halite",55,0.44802361,64.3
"FT-01","halite",54.5,0.44802982,64.3
"FT-01","halite",54,0.44803339,64.3
"FT-01","halite",53.5,0.44803543,64.3
"FT-01","halite",53,0.44803661,64.3
"FT-01","halite",52.5,0.44803728,64.3
"FT-01","halite",52,0.44803767,64.3
"FT-01","halite",51.5,0.44803789,64.3
"FT-01","halite",51,0.44803802,64.3
"FT-01","halite",50.5,0.44803809,64.3
"FT-01","halite",50,0.44803813,64.3
"FT-01","halite",49.5,0.44803815,64.3
"FT-01","halite",49,0.44803817,64.3
"FT-01","halite",48.5,0.44803818,64.3
"FT-01","halite",48,0.44803818,64.3
"FT-01","halite",47.5,0.44803818,64.3
"FT-01","halite",47,0.44803818,64.3
"FT-01","halite",46.5,0.44803819,64.3
"FT-01","halite",46,0.44803819,64.3
"FT-01","halite",45.5,0.44803819,64.3
"FT-01","halite",45,0.44803819,64.3
"FT-01","halite",44.5,0.44803819,64.3
"FT-01","halite",44,0.44803819,64.3
"FT-01","halite",43.5,0.44803819,64.3
"FT-01","halite",43,0.44803819,64.3
"FT-01","halite",42.5,0.44803819,64.3
"FT-01","halite",42,0.44803819,64.3
"FT-01","halite",41.5,0.44803819,64.3
"FT-01","halite",41,0.44803819,64.3
"FT-01","halite",40.5,0.44803819,64.3
"FT-01","halite",40,0.44803819,64.3
"FT-01","halite",39.5,0.44803819,64.3
"FT-01","halite",39,0.44803819,64.3
"FT-01","halite",38.5,0.44803819,64.3
"FT-01","halite",38,0.44803819,64.3
"FT-01","halite",37.5,0.44803819,64.3
"FT-01","halite",37,0.44803819,64.3
"FT-01","halite",36.5,0.44803819,64.3
"FT-01","halite",36,0.44803819,64.3
"FT-01","halite",35.5,0.44803819,64.3
"FT-01","halite",35,0.44803819,64.3
"FT-01","halite",34.5,0.44803819,64.3
"FT-01","halite",34,0.44803819,64.3
"FT-01","halite",33.5,0.44803819,64.3
"FT-01","halite",33,0.44803819,64.3
"FT-01","halite",32.5,0.44803819,64.3
"FT-01","halite",32,0.44803819,64.3
"FT-01","halite",31.5,0.44803819,64.3
"FT-01","halite",31,0.44803819,64.3
"FT-01","halite",30.5,0.44803819,64.3
"FT-01","halite",30,0.44803819,64.3
"FT-01","halite",29.5,0.44803819,64.3
"FT-01","halite",29,0.44803819,64.3
"FT-01","halite",28.5,0.44803819,64.3
"FT-01","halite",28,0.44803819,64.3
"FT-01","halite",27.5,0.44803819,64.3
"FT-01","halite",27,0.44803819,64.3
"FT-01","halite",26.5,0.44803819,64.3
"FT-01","halite",26,0.44803819,64.3
"FT-01","halite",25.5,0.44803819,64.3
"FT-01","halite",25,0.44803819,64.3
"FT-01","halite",24.5,0.44803819,64.3
"FT-01","halite",24,0.44803819,64.3
"FT-01","halite",23.5,0.44803819,64.3
"FT-01","halite",23,0.44803819,64.3
"FT-01","halite",22.5,0.44803819,64.3
"FT-01","halite",22,0.44803819,64.3
"FT-01","halite",21.5,0.44803819,64.3
"FT-01","halite",21,0.44803819,64.3
"FT-01","halite",20.5,0.44803819,64.3
"FT-01","halite",20,0.44803819,64.3
"FT-01","halite",19.5,0.44803819,64.3
"FT-01","halite",19,0.44803819,64.3
"FT-01","halite",18.5,0.44803819,64.3
"FT-01","halite",18,0.44803819,64.3
"FT-01","halite",17.5,0.44803819,64.3
"FT-01","halite",17,0.44803819,64.3
"FT-01","halite",16.5,0.44803819,64.3
"FT-01","halite",16,0.44803819,64.3
"FT-01","halite",15.5,0.44803819,64.3
"FT-01","halite",15,0.44803819,64.3
"FT-01","nitromagnesite",98,0,39.4
"FT-01","nitromagnesite",97.5,0,39.4
"FT-01","nitromagnesite",97,0,39.4
"FT-01","nitromagnesite",96.5,0,39.4
"FT-01","nitromagnesite",96,0,39.4
"FT-01","nitromagnesite",95.5,0,39.4
"FT-01","nitromagnesite",95,0,39.4
"FT-01","nitromagnesite",94.5,0,39.4
"FT-01","nitromagnesite",94,0,39.4
"FT-01","nitromagnesite",93.5,0,39.4
"FT-01","nitromagnesite",93,0,39.4
"FT-01","nitromagnesite",92.5,0,39.4
"FT-01","nitromagnesite",92,0,39.4
"FT-01","nitromagnesite",91.5,0,39.4
"FT-01","nitromagnesite",91,0,39.4
"FT-01","nitromagnesite",90.5,0,39.4
"FT-01","nitromagnesite",90,0,39.4
"FT-01","nitromagnesite",89.5,0,39.4
"FT-01","nitromagnesite",89,0,39.4
"FT-01","nitromagnesite",88.5,0,39.4
"FT-01","nitromagnesite",88,0,39.4
"FT-01","nitromagnesite",87.5,0,39.4
"FT-01","nitromagnesite",87,0,39.4
"FT-01","nitromagnesite",86.5,0,39.4
"FT-01","nitromagnesite",86,0,39.4
"FT-01","nitromagnesite",85.5,0,39.4
"FT-01","nitromagnesite",85,0,39.4
"FT-01","nitromagnesite",84.5,0,39.4
"FT-01","nitromagnesite",84,0,39.4
"FT-01","nitromagnesite",83.5,0,39.4
"FT-01","nitromagnesite",83,0,39.4
"FT-01","nitromagnesite",82.5,0,39.4
"FT-01","nitromagnesite",82,0,39.4
"FT-01","nitromagnesite",81.5,0,39.4
"FT-01","nitromagnesite",81,0,39.4
"FT-01","nitromagnesite",80.5,0,39.4
"FT-01","nitromagnesite",80,0,39.4
"FT-01","nitromagnesite",79.5,0,39.4
"FT-01","nitromagnesite",79,0,39.4
"FT-01","nitromagnesite",78.5,0,39.4
"FT-01","nitromagnesite",78,0,39.4
"FT-01","nitromagnesite",77.5,0,39.4
"FT-01","nitromagnesite",77,0,39.4
"FT-01","nitromagnesite",76.5,0,39.4
"FT-01","nitromagnesite",76,0,39.4
"FT-01","nitromagnesite",75.5,0,39.4
"FT-01","nitromagnesite",75,0,39.4
"FT-01","nitromagnesite",74.5,0,39.4
"FT-01","nitromagnesite",74,0,39.4
"FT-01","nitromagnesite",73.5,0,39.4
"FT-01","nitromagnesite",73,0,39.4
"FT-01","nitromagnesite",72.5,0,39.4
"FT-01","nitromagnesite",72,0,39.4
"FT-01","nitromagnesite",71.5,0,39.4
"FT-01","nitromagnesite",71,0,39.4
"FT-01","nitromagnesite",70.5,0,39.4
"FT-01","nitromagnesite",70,0,39.4
"FT-01","nitromagnesite",69.5,0,39.4
"FT-01","nitromagnesite",69,0,39.4
"FT-01","nitromagnesite",68.5,0,39.4
"FT-01","nitromagnesite",68,0,39.4
"FT-01","nitromagnesite",67.5,0,39.4
"FT-01","nitromagnesite",67,0,39.4
"FT-01","nitromagnesite",66.5,0,39.4
"FT-01","nitromagnesite",66,0,39.4
"FT-01","nitromagnesite",65.5,0,39.4
"FT-01","nitromagnesite",65,0,39.4
"FT-01","nitromagnesite",64.5,0,39.4
"FT-01","nitromagnesite",64,0,39.4
"FT-01","nitromagnesite",63.5,0,39.4
"FT-01","nitromagnesite",63,0,39.4
"FT-01","nitromagnesite",62.5,0,39.4
"FT-01","nitromagnesite",62,0,39.4
"FT-01","nitromagnesite",61.5,0,39.4
"FT-01","nitromagnesite",61,0,39.4
"FT-01","nitromagnesite",60.5,0,39.4
"FT-01","nitromagnesite",60,0,39.4
"FT-01","nitromagnesite",59.5,0,39.4
"FT-01","nitromagnesite",59,0,39.4
"FT-01","nitromagnesite",58.5,0,39.4
"FT-01","nitromagnesite",58,0,39.4
"FT-01","nitromagnesite",57.5,0,39.4
"FT-01","nitromagnesite",57,0,39.4
"FT-01","nitromagnesite",56.5,0,39.4
"FT-01","nitromagnesite",56,0,39.4
"FT-01","nitromagnesite",55.5,0,39.4
"FT-01","nitromagnesite",55,0,39.4
"FT-01","nitromagnesite",54.5,0,39.4
"FT-01","nitromagnesite",54,0,39.4
"FT-01","nitromagnesite",53.5,0,39.4
"FT-01","nitromagnesite",53,0,39.4
"FT-01","nitromagnesite",52.5,0,39.4
"FT-01","nitromagnesite",52,0,39.4
"FT-01","nitromagnesite",51.5,0,39.4
"FT-01","nitromagnesite",51,1e-08,39.4
"FT-01","nitromagnesite",50.5,1e-08,39.4
"FT-01","nitromagnesite",50,3e-08,39.4
"FT-01","nitromagnesite",49.5,4e-08,39.4
"FT-01","nitromagnesite",49,8e-08,39.4
"FT-01","nitromagnesite",48.5,1.3e-07,39.4
"FT-01","nitromagnesite",48,2.3e-07,39.4
"FT-01","nitromagnesite",47.5,4e-07,39.4
"FT-01","nitromagnesite",47,7.1e-07,39.4
"FT-01","nitromagnesite",46.5,1.23e-06,39.4
"FT-01","nitromagnesite",46,2.14e-06,39.4
"FT-01","nitromagnesite",45.5,3.73e-06,39.4
"FT-01","nitromagnesite",45,6.5e-06,39.4
"FT-01","nitromagnesite",44.5,1.131e-05,39.4
"FT-01","nitromagnesite",44,1.966e-05,39.4
"FT-01","nitromagnesite",43.5,3.411e-05,39.4
"FT-01","nitromagnesite",43,5.899e-05,39.4
"FT-01","nitromagnesite",42.5,0.00010147,39.4
"FT-01","nitromagnesite",42,0.00017287,39.4
"FT-01","nitromagnesite",41.5,0.00028995,39.4
"FT-01","nitromagnesite",41,0.00047421,39.4
