"h","doy","hod","out_T","out_RH","gal_T","gal_RH","case_T","case_RH","hvac","gal_M_fix","case_M_fix","gal_M_pkg","gal_LIM","case_LIM","gal_DP"
26,153,1,27.01,82.94,27.78,77.86,27.94,59.92,0,0,0,6e-04,74.23,74.22,23.56
27,153,2,26.41,82.27,27.65,78.01,27.89,60.12,0,0,0,6e-04,74.24,74.22,23.46
28,153,3,27.82,84.4,27.65,78.59,27.84,60.33,0,0,0,6e-04,74.24,74.23,23.59
29,153,4,28.81,87.2,27.66,79.46,27.8,60.54,0,0,0,0.0027,74.24,74.23,23.79
30,153,5,27.84,86.74,27.62,80.03,27.77,60.76,0,0.0042,0,0.0069,74.24,74.23,23.87
31,153,6,28.95,83.45,27.64,80.63,27.74,60.98,0,0.0104,0,0.013,74.24,74.23,24
32,153,7,30.15,79.53,27.71,80.95,27.73,61.2,0,0.0175,0,0.0201,74.23,74.23,24.14
33,153,8,31.15,76.3,27.87,80.79,27.76,61.42,0,0.0241,0,0.0267,74.22,74.23,24.27
34,153,9,31.6,77.51,25.76,71.97,27.36,61.54,1,0.0228,0,0.0267,74.41,74.26,20.32
35,153,10,32.39,73.76,24.87,65.17,26.86,61.58,1,0.0215,0,0.0267,74.52,74.3,17.88
36,153,11,33.54,74.71,24.38,61.72,26.37,61.58,1,0.0201,0,0.0267,74.6,74.34,16.56
37,153,12,33.59,72.15,24.22,59.43,25.94,61.55,1,0.0188,0,0.0267,74.62,74.39,15.81
38,153,13,31.61,70.61,24.14,58.01,25.58,61.51,1,0.0175,0,0.0267,74.64,74.43,15.36
39,153,14,31.82,67.82,24.04,57.05,25.27,61.47,1,0.0161,0,0.0267,74.65,74.47,15.01
40,153,15,31.32,63.7,24.07,55.96,25.03,61.4,1,0.0161,0,0.0267,74.65,74.5,14.74
41,153,16,31.76,67.17,24.04,55.09,24.83,61.33,1,0.0161,0,0.0267,74.65,74.53,14.47
42,153,17,31.04,66.94,24.57,55.64,24.78,61.27,0,0.0161,0,0.0267,74.57,74.54,15.11
43,153,18,29.62,71.46,24.83,56.72,24.79,61.22,0,0.0161,0,0.0267,74.53,74.53,15.66
44,153,19,29.42,86.24,25.06,58.68,24.84,61.19,0,0.0161,0,0.0267,74.5,74.53,16.4
45,153,20,29.95,79.91,25.25,60.11,24.92,61.18,0,0.0161,0,0.0267,74.47,74.52,16.96
46,153,21,29.69,79,25.5,61.01,25.04,61.18,0,0.0161,0,0.0267,74.44,74.5,17.43
47,153,22,29.39,83.36,25.74,62.57,25.18,61.19,0,0.0161,0,0.0267,74.41,74.48,18.06
48,153,23,29.12,88.41,25.98,64.13,25.34,61.23,0,0.0161,0,0.0267,74.38,74.46,18.67
49,154,0,28.13,90.2,26.09,65.75,25.49,61.28,0,0.0161,0,0.0267,74.37,74.44,19.18
50,154,1,28.44,92.76,26.24,67.01,25.64,61.34,0,0.0161,0,0.0267,74.35,74.42,19.63
51,154,2,26.53,93.89,26.21,68.6,25.75,61.42,0,0.0161,0,0.0267,74.36,74.41,19.98
52,154,3,26.36,92.2,26.02,70.34,25.81,61.52,0,0.0161,0,0.0267,74.38,74.4,20.21
53,154,4,26.93,90.84,26.04,71.67,25.85,61.63,0,0.0161,0,0.0267,74.38,74.4,20.52
54,154,5,26.46,90.14,25.91,72.8,25.87,61.76,0,0.0161,0,0.0267,74.39,74.4,20.66
55,154,6,26.64,86.1,25.82,73.59,25.86,61.89,0,0.0161,0,0.0267,74.4,74.4,20.74
56,154,7,28.49,81.99,25.85,74.09,25.86,62.02,0,0.0161,0,0.0267,74.4,74.4,20.88
57,154,8,28.62,83.87,25.94,74.87,25.87,62.17,0,0.0161,0,0.0267,74.39,74.39,21.14
58,154,9,28.79,78.06,24.9,67.37,25.68,62.22,1,0.0155,0,0.0267,74.52,74.42,18.44
59,154,10,30.46,78.64,24.33,63.28,25.41,62.24,1,0.0148,0,0.0267,74.6,74.45,16.91
60,154,11,31.77,77.37,24.2,60.47,25.17,62.22,1,0.0141,0,0.0267,74.63,74.48,16.07
61,154,12,33.32,77.46,24.1,58.59,24.95,62.18,1,0.0135,0,0.0267,74.64,74.51,15.48
62,154,13,33.37,71.7,24.01,57.21,24.76,62.12,1,0.0128,0,0.0267,74.66,74.54,15.03
63,154,14,34.45,71.55,23.97,56.61,24.61,62.06,1,0.0121,0,0.0267,74.66,74.56,14.83
64,154,15,34.66,69.7,23.99,56.53,24.48,62,1,0.0115,0,0.0267,74.66,74.58,14.82
65,154,16,34.1,72.19,23.96,56.38,24.38,61.94,1,0.0108,0,0.0267,74.67,74.6,14.75
66,154,17,33.2,74.68,24.56,57.32,24.42,61.88,0,0.0101,0,0.0267,74.57,74.59,15.57
67,154,18,32.75,74.35,25.11,58.28,24.55,61.84,0,0.0095,0,0.0267,74.49,74.57,16.35
68,154,19,32.52,75.26,25.65,59.55,24.77,61.82,0,0.0088,0,0.0267,74.42,74.54,17.19
69,154,20,32.26,82.05,26.11,60.86,25.04,61.81,0,0.0081,0,0.0267,74.37,74.5,17.96
70,154,21,32.69,83.21,26.51,62.24,25.33,61.81,0,0.0075,0,0.0267,74.33,74.46,18.7
71,154,22,32.96,86.42,26.94,64.34,25.66,61.84,0,0.0068,0,0.0267,74.29,74.42,19.64
72,154,23,30.7,89.79,27.18,65.42,25.96,61.88,0,0.0061,0,0.0267,74.27,74.38,20.13
73,155,0,28.14,92.76,27.14,66.84,26.2,61.94,0,0.0055,0,0.0267,74.27,74.36,20.45
74,155,1,26.88,96.57,26.96,68.04,26.35,62,0,0.0048,0,0.0267,74.29,74.34,20.56
75,155,2,25.37,97.25,26.73,70.33,26.43,62.1,0,0.0041,0,0.0267,74.31,74.34,20.88
76,155,3,24.74,98,26.42,71.84,26.42,62.2,0,0.0035,0,0.0267,74.34,74.34,20.93
77,155,4,24.34,98,26.15,73.33,26.37,62.33,0,0.0028,0,0.0267,74.36,74.34,21.01
78,155,5,24.97,98,25.98,74.68,26.29,62.47,0,0.0021,0,0.0267,74.38,74.35,21.13
79,155,6,25,93.28,25.78,75.74,26.19,62.61,0,0.0015,0,0.0267,74.4,74.36,21.17
80,155,7,24.96,93.24,25.67,76.68,26.09,62.77,0,8e-04,0,0.0267,74.42,74.37,21.27
81,155,8,25.75,90.19,25.48,78.1,25.96,62.94,0,1e-04,0,0.0267,74.44,74.38,21.38
82,155,9,26.94,88.26,24.68,69.65,25.71,63.01,1,0,0,0.0267,74.55,74.41,18.76
83,155,10,27.01,83.4,24.35,64.31,25.43,63.03,1,0,0,0.0267,74.6,74.45,17.18
84,155,11,27.63,79.66,24.21,60.91,25.19,63,1,0,0,0.0267,74.63,74.48,16.19
85,155,12,27.76,73.33,24.12,59.2,24.98,62.96,1,0,0,0.0267,74.64,74.51,15.66
86,155,13,31.04,72.93,24,57.49,24.78,62.9,1,0,0,0.0267,74.66,74.54,15.1
87,155,14,31.9,70.82,24.06,56.5,24.64,62.83,1,0,0,0.0267,74.65,74.56,14.88
88,155,15,32.31,71.83,24.13,56.11,24.54,62.76,1,0,0,0.0267,74.64,74.57,14.83
89,155,16,32.63,72.65,24.08,56.36,24.44,62.68,1,0,0,0.0267,74.65,74.59,14.85
90,155,17,31.31,82.1,24.49,58.3,24.45,62.64,0,0,0,0.0267,74.58,74.59,15.77
91,155,18,29.26,90.04,24.83,59.98,24.53,62.61,0,0,0,0.0267,74.53,74.57,16.54
92,155,19,29.38,86.23,25.07,61.53,24.64,62.59,0,0,0,0.0267,74.5,74.56,17.16
93,155,20,26.42,88.22,25.11,63.43,24.73,62.6,0,0,0,0.0267,74.49,74.54,17.68
94,155,21,24.67,90.74,24.95,65.29,24.77,62.63,0,0,0,0.0267,74.51,74.54,17.99
95,155,22,20.83,99,24.54,67.48,24.73,62.69,0,0,0,0.0267,74.57,74.54,18.12
96,155,23,22.61,97.48,24.37,69.86,24.66,62.77,0,0,0,0.0267,74.6,74.55,18.51
97,156,0,22.19,97,24.1,71.37,24.54,62.86,0,0,0,0.0267,74.64,74.57,18.6
98,156,1,21.33,93.76,23.83,73.18,24.4,62.98,0,0,0,0.0267,74.69,74.59,18.74
99,156,2,19.38,94.09,23.45,74.46,24.21,63.11,0,0,0,0.0267,74.76,74.62,18.65
100,156,3,21.01,97.93,23.09,75.63,23.99,63.24,0,0,0,0.0267,74.83,74.66,18.55
101,156,4,23.2,98,22.96,77.67,23.78,63.4,0,0,0,0.0267,74.85,74.7,18.85
102,156,5,21.9,98,22.73,79.08,23.57,63.58,0,0,0,0.0267,74.9,74.74,18.91
103,156,6,24.37,89.58,22.71,79.67,23.4,63.76,0,0,0,0.0289,74.91,74.77,19.02
104,156,7,26.22,84.48,22.88,80.33,23.3,63.94,0,0.0046,0,0.0333,74.87,74.79,19.31
105,156,8,26.98,82.84,23.12,80.63,23.26,64.13,0,0.0101,0,0.0386,74.82,74.79,19.6
106,156,9,28.48,81.36,23.56,72.57,23.32,64.22,1,0.0087,0,0.0386,74.74,74.78,18.34
107,156,10,29.34,79.5,23.8,66.68,23.42,64.25,1,0.0074,0,0.0386,74.69,74.76,17.23
108,156,11,30.49,76.48,23.89,62.7,23.51,64.23,1,0.0061,0,0.0386,74.68,74.75,16.34
109,156,12,32.7,75.83,23.9,59.66,23.59,64.18,1,0.0047,0,0.0386,74.68,74.73,15.58
110,156,13,31.15,84.08,24.01,58.05,23.67,64.11,1,0.0034,0,0.0386,74.66,74.72,15.25
111,156,14,33.66,74.58,24.02,56.36,23.74,64.03,1,0.0021,0,0.0386,74.66,74.7,14.81
112,156,15,32.63,74.12,23.99,55.49,23.79,63.93,1,0.0021,0,0.0386,74.66,74.7,14.54
113,156,16,31.43,74.03,24.03,54.99,23.84,63.83,1,0.0021,0,0.0386,74.65,74.69,14.43
114,156,17,30.64,72.82,24.45,56.36,23.96,63.75,0,0.0021,0,0.0386,74.59,74.67,15.2
115,156,18,31.67,74.89,24.88,57.83,24.14,63.68,0,0.0021,0,0.0386,74.52,74.64,16
116,156,19,31.54,77.56,25.32,58.77,24.38,63.63,0,0.0021,0,0.0386,74.46,74.6,16.67
117,156,20,29,78.16,25.43,60.41,24.59,63.59,0,0.0021,0,0.0386,74.45,74.56,17.21
118,156,21,27.13,83.09,25.46,62.31,24.76,63.58,0,0.0021,0,0.0386,74.44,74.54,17.73
119,156,22,27.23,88.14,25.55,63.85,24.92,63.58,0,0.0021,0,0.0386,74.43,74.52,18.2
120,156,23,26.71,89.66,25.54,66.17,25.04,63.61,0,0.0021,0,0.0386,74.43,74.5,18.76
121,157,0,26.25,93.4,25.4,68.02,25.12,63.66,0,0.0021,0,0.0386,74.45,74.49,19.07
122,157,1,26.25,95.01,25.51,70,25.19,63.73,0,0.0021,0,0.0386,74.44,74.48,19.64
123,157,2,26.08,93.33,25.49,71.98,25.25,63.82,0,0.0021,0,0.0386,74.44,74.47,20.06
124,157,3,24.82,93.88,25.37,73.74,25.28,63.93,0,0.0021,0,0.0386,74.45,74.47,20.34
125,157,4,25.68,94.69,25.3,74.99,25.28,64.05,0,0.0021,0,0.0386,74.46,74.47,20.55
126,157,5,27.27,93.68,25.27,76.64,25.28,64.19,0,0.0021,0,0.0386,74.47,74.47,20.87
127,157,6,28.25,90.2,25.45,77.55,25.31,64.34,0,0.0021,0,0.0386,74.45,74.46,21.24
128,157,7,29.41,88.42,25.63,78.62,25.38,64.5,0,0.0021,0,0.0386,74.42,74.45,21.64
129,157,8,30.74,90.09,26.04,79.16,25.51,64.66,0,0.0021,0,0.0387,74.38,74.44,22.15
130,157,9,30.59,86.28,24.89,70.69,25.39,64.73,1,0.0014,0,0.0387,74.52,74.45,19.2
131,157,10,31.01,83.79,24.34,65.07,25.18,64.73,1,7e-04,0,0.0387,74.6,74.48,17.36
132,157,11,32.11,81.65,24.18,61.89,24.98,64.7,1,1e-04,0,0.0387,74.63,74.51,16.41
133,157,12,33.74,79.61,24.04,59.29,24.79,64.64,1,0,0,0.0387,74.65,74.53,15.61
134,157,13,34.14,74.83,23.97,57.6,24.63,64.56,1,0,0,0.0387,74.66,74.56,15.09
135,157,14,34.92,73.04,24.01,56.37,24.5,64.47,1,0,0,0.0387,74.66,74.58,14.79
136,157,15,35.85,71.31,24.01,56.6,24.41,64.39,1,0,0,0.0387,74.66,74.59,14.86
137,157,16,35.53,72.84,24.03,56.08,24.33,64.29,1,0,0,0.0387,74.66,74.61,14.73
138,157,17,34.48,74.22,24.85,57.08,24.43,64.21,0,0,0,0.0387,74.53,74.59,15.78
139,157,18,34.5,74.5,25.64,58,24.68,64.14,0,0,0,0.0387,74.42,74.55,16.77
140,157,19,33.86,73.79,26.14,59.02,24.97,64.09,0,0,0,0.0387,74.37,74.51,17.5
141,157,20,33.78,75.3,26.69,60.51,25.31,64.05,0,0,0,0.0387,74.31,74.46,18.42
142,157,21,32.66,74.79,27.06,61.91,25.66,64.02,0,0,0,0.0387,74.28,74.42,19.14
143,157,22,32.1,77.74,27.4,62.94,26.01,64.01,0,0,0,0.0387,74.25,74.38,19.72
144,157,23,31.47,76.82,27.67,64.02,26.34,64.01,0,0,0,0.0387,74.24,74.34,20.25
145,158,0,29.38,74.19,27.81,65.08,26.63,64.02,0,0,0,0.0387,74.23,74.32,20.65
146,158,1,29.65,78.39,27.83,66.08,26.87,64.05,0,0,0,0.0387,74.23,74.29,20.91
147,158,2,29.74,82.14,27.83,68.02,27.06,64.09,0,0,0,0.0387,74.23,74.28,21.38
148,158,3,29.05,86.57,27.82,69.21,27.22,64.15,0,0,0,0.0387,74.23,74.27,21.66
149,158,4,29.28,87.29,27.96,70.88,27.36,64.22,0,0,0,0.0387,74.22,74.26,22.18
150,158,5,29.84,86.43,28.05,72.03,27.5,64.31,0,0,0,0.0387,74.21,74.25,22.54
151,158,6,29.72,85.2,28.13,72.84,27.63,64.4,0,0,0,0.0387,74.21,74.24,22.8
152,158,7,31.17,84.11,28.33,73.69,27.77,64.51,0,0,0,0.0387,74.2,74.23,23.18
153,158,8,32.12,81.73,28.6,73.93,27.93,64.61,0,0,0,0.0387,74.19,74.22,23.49
154,158,9,33.16,76.69,26.05,67.57,27.56,64.65,1,0,0,0.0387,74.37,74.24,19.59
155,158,10,32.75,75.53,24.94,63.02,27.03,64.63,1,0,0,0.0387,74.51,74.28,17.42
156,158,11,34.05,73.09,24.46,60.27,26.52,64.58,1,0,0,0.0387,74.58,74.33,16.26
157,158,12,34.65,73.21,24.17,58.7,26.05,64.51,1,0,0,0.0387,74.63,74.37,15.57
158,158,13,35.71,70.57,24.14,57.73,25.67,64.44,1,0,0,0.0387,74.64,74.42,15.28
159,158,14,36.1,69.22,24.01,56.3,25.33,64.35,1,0,0,0.0387,74.66,74.46,14.77
160,158,15,37.21,70.64,23.91,55.6,25.05,64.25,1,0,0,0.0387,74.68,74.5,14.49
161,158,16,36.06,73.66,24.04,55.58,24.85,64.15,1,0,0,0.0387,74.65,74.53,14.61
162,158,17,34.75,74.21,24.8,56.86,24.84,64.07,0,0,0,0.0387,74.53,74.53,15.67
163,158,18,33.91,77.54,25.46,58.07,24.96,64.01,0,0,0,0.0387,74.44,74.51,16.61
164,158,19,33.01,81.49,26.1,59.8,25.19,63.96,0,0,0,0.0387,74.37,74.48,17.68
165,158,20,31.48,83.68,26.39,61.78,25.43,63.94,0,0,0,0.0387,74.34,74.45,18.47
166,158,21,29.37,87.96,26.39,63.26,25.62,63.93,0,0,0,0.0387,74.34,74.42,18.85
167,158,22,28.62,92.74,26.54,65.42,25.81,63.94,0,0,0,0.0387,74.33,74.4,19.52
168,158,23,29.86,97.26,26.71,67.55,25.99,63.98,0,0,0,0.0387,74.31,74.38,20.21
169,159,0,29.67,98,26.87,69.73,26.16,64.05,0,0,0,0.0387,74.3,74.36,20.87
170,159,1,29.01,98,26.94,70.98,26.32,64.13,0,0,0,0.0387,74.29,74.35,21.23
171,159,2,28.47,98,27.01,72.28,26.46,64.22,0,0,0,0.0387,74.28,74.33,21.6
172,159,3,27.53,98,26.93,73.69,26.55,64.32,0,0,0,0.0387,74.29,74.32,21.83
173,159,4,25.22,99,26.68,75.12,26.58,64.44,0,0,0,0.0387,74.31,74.32,21.91
174,159,5,27.27,98,26.58,76.74,26.58,64.58,0,0,0,0.0387,74.32,74.32,22.16
175,159,6,26.93,97.78,26.44,78.07,26.55,64.73,0,0,0,0.0387,74.33,74.32,22.31
176,159,7,28.33,92.69,26.55,79.27,26.55,64.89,0,0,0,0.0394,74.32,74.32,22.67
177,159,8,27.85,89.03,26.46,79.74,26.53,65.05,0,0,0,0.042,74.33,74.33,22.68
178,159,9,29.16,87.46,26.61,80.29,26.55,65.22,0,0.005,0,0.0466,74.32,74.32,22.93
179,159,10,29.93,86.11,26.76,81.17,26.59,65.4,0,0.0126,0,0.054,74.3,74.32,23.26
180,159,11,31.73,81.85,27,81.33,26.67,65.58,0,0.0207,0,0.0619,74.28,74.31,23.53
181,159,12,32.99,77.2,27.36,80.47,26.81,65.74,0,0.0262,0,0.067,74.26,74.3,23.7
182,159,13,34.08,77.09,27.83,80.53,27.01,65.91,0,0.0319,0,0.0724,74.23,74.28,24.17
183,159,14,32.81,75.53,28.23,80.35,27.26,66.07,0,0.037,0,0.0772,74.21,74.26,24.52
184,159,15,32.96,73.57,28.5,80.16,27.51,66.22,0,0.0414,0,0.0812,74.19,74.25,24.75
185,159,16,33.25,72.44,28.82,79.6,27.77,66.37,0,0.0401,0,0.0828,74.18,74.23,24.94
186,159,17,33.96,73.97,29.22,79.94,28.06,66.52,0,0.0388,0,0.0859,74.17,74.21,25.4
187,159,18,32.57,73.23,29.37,79.96,28.32,66.67,0,0.0374,0,0.0891,74.17,74.2,25.55
188,159,19,30.72,76.56,29.36,80.11,28.53,66.82,0,0.0418,0,0.0928,74.17,74.19,25.57
189,159,20,29.13,79.18,29.24,80.16,28.67,66.97,0,0.0462,0,0.0967,74.17,74.19,25.46
190,159,21,27.17,82.42,28.92,80.22,28.72,67.12,0,0.0508,0,0.1008,74.18,74.18,25.17
191,159,22,25.4,84.59,28.6,81.13,28.7,67.27,0,0.0584,0,0.1081,74.19,74.19,25.05
192,159,23,25.45,86.15,28.27,81.14,28.61,67.43,0,0.0659,0,0.1153,74.2,74.19,24.73
193,160,0,22.98,89.92,27.74,81.85,28.44,67.59,0,0.0754,0,0.1245,74.23,74.2,24.35
194,160,1,23.2,91.54,27.28,82.92,28.21,67.76,0,0.0877,0,0.138,74.26,74.21,24.12
195,160,2,23.18,86.69,26.93,83.13,27.95,67.93,0,0.1005,0,0.1519,74.29,74.22,23.83
196,160,3,23.92,88.34,26.73,83.94,27.71,68.11,0,0.1155,0,0.1678,74.31,74.23,23.78
197,160,4,24.81,85.73,26.45,84.16,27.45,68.29,0,0.131,0,0.1842,74.33,74.25,23.56
198,160,5,24.27,81.93,26.24,83.8,27.21,68.46,0,0.1454,0,0.1995,74.35,74.27,23.28
199,160,6,24.07,84.87,25.9,83.54,26.95,68.63,0,0.1588,0,0.2139,74.39,74.29,22.9
200,160,7,23.9,86.9,25.58,83.65,26.68,68.79,0,0.1724,0,0.2285,74.43,74.31,22.6
201,160,8,24.56,82.45,25.4,83.39,26.42,68.95,0,0.1852,0,0.2422,74.45,74.34,22.38
202,160,9,26.27,79.37,24.74,73.46,26.08,69,1,0.1839,0,0.2422,74.54,74.37,19.68
203,160,10,26.35,76.1,24.36,66.6,25.74,68.98,1,0.1826,0,0.2422,74.6,74.41,17.74
204,160,11,27.88,75.24,24.24,62.35,25.44,68.9,1,0.1812,0,0.2422,74.62,74.45,16.59
205,160,12,28.53,71.71,24.09,59.69,25.17,68.8,1,0.1799,0,0.2422,74.64,74.48,15.76
206,160,13,29.63,71.77,24.06,58.42,24.95,68.69,1,0.1786,0,0.2422,74.65,74.51,15.39
207,160,14,31.15,70.24,23.99,57.26,24.76,68.56,1,0.1772,0,0.2422,74.66,74.54,15.02
208,160,15,30.05,67.97,23.98,56.37,24.6,68.42,1,0.1772,0,0.2422,74.66,74.56,14.77
209,160,16,29.16,70.23,24.01,55.71,24.48,68.28,1,0.1772,0,0.2422,74.66,74.58,14.62
210,160,17,29.45,69.53,24.35,56.16,24.46,68.15,0,0.1772,0,0.2422,74.6,74.59,15.05
211,160,18,27.68,70.76,24.46,56.81,24.46,68.02,0,0.1772,0,0.2422,74.59,74.59,15.33
212,160,19,26.96,74.5,24.52,57.56,24.47,67.91,0,0.1772,0,0.2422,74.57,74.58,15.6
213,160,20,26.27,77.49,24.54,59.18,24.48,67.81,0,0.1772,0,0.2422,74.57,74.58,16.05
214,160,21,26.05,80.53,24.57,60.27,24.5,67.73,0,0.1772,0,0.2422,74.57,74.58,16.37
215,160,22,25.25,76.96,24.6,61.28,24.52,67.65,0,0.1772,0,0.2422,74.56,74.58,16.66
216,160,23,24.78,80.76,24.56,62.28,24.53,67.59,0,0.1772,0,0.2422,74.57,74.57,16.87
217,161,0,23.94,83.32,24.38,64.12,24.5,67.56,0,0.1772,0,0.2422,74.6,74.58,17.16
218,161,1,24.22,85.5,24.22,65.38,24.44,67.53,0,0.1772,0,0.2422,74.62,74.59,17.31
219,161,2,25.21,87.12,24.22,66.63,24.4,67.52,0,0.1772,0,0.2422,74.62,74.59,17.62
220,161,3,24.02,95,24.14,68.41,24.35,67.53,0,0.1772,0,0.2422,74.64,74.6,17.96
221,161,4,23.95,98.98,24,70.5,24.28,67.56,0,0.1772,0,0.2422,74.66,74.61,18.3
222,161,5,25.69,88.62,23.99,71.32,24.22,67.61,0,0.1772,0,0.2422,74.66,74.62,18.48
223,161,6,28.13,86.59,24.2,72.36,24.22,67.66,0,0.1772,0,0.2422,74.63,74.62,18.91
224,161,7,28.43,85.32,24.39,73.05,24.25,67.72,0,0.1772,0,0.2422,74.59,74.62,19.25
225,161,8,27.72,82.12,24.56,73.59,24.31,67.78,0,0.1772,0,0.2422,74.57,74.61,19.53
226,161,9,29.64,81.94,24.23,66.79,24.3,67.77,1,0.1766,0,0.2422,74.62,74.61,17.67
227,161,10,30.76,78.05,24.15,62.93,24.27,67.72,1,0.1759,0,0.2422,74.63,74.61,16.65
228,161,11,31.99,72.39,23.97,60.08,24.21,67.63,1,0.1752,0,0.2422,74.67,74.62,15.75
229,161,12,32.42,70.93,23.98,58.35,24.16,67.53,1,0.1746,0,0.2422,74.66,74.63,15.31
230,161,13,33.75,73.63,24.02,57.4,24.14,67.42,1,0.1739,0,0.2422,74.66,74.64,15.09
231,161,14,34.75,70.84,24.02,55.75,24.11,67.29,1,0.1732,0,0.2422,74.66,74.64,14.64
232,161,15,36.01,66.54,24.03,55.78,24.1,67.16,1,0.1726,0,0.2422,74.66,74.64,14.65
233,161,16,36.02,66.34,23.92,55.97,24.06,67.04,1,0.1719,0,0.2422,74.67,74.65,14.6
234,161,17,35.76,71.74,24.7,56.79,24.19,66.92,0,0.1712,0,0.2422,74.55,74.63,15.55
235,161,18,34.71,74.73,25.42,58.4,24.43,66.83,0,0.1706,0,0.2422,74.45,74.59,16.67
236,161,19,35.4,78.74,26.18,59.26,24.78,66.74,0,0.1699,0,0.2422,74.36,74.54,17.6
237,161,20,34.62,79.99,26.74,60.69,25.17,66.68,0,0.1692,0,0.2422,74.31,74.48,18.51
238,161,21,33.33,86.54,27.16,62.44,25.57,66.63,0,0.1686,0,0.2422,74.27,74.43,19.36
239,161,22,31.61,87.61,27.42,64.46,25.94,66.61,0,0.1679,0,0.2422,74.25,74.39,20.12
240,161,23,29.94,90.36,27.58,66.4,26.27,66.6,0,0.1672,0,0.2422,74.24,74.35,20.75
241,162,0,30.02,91.78,27.63,68.8,26.54,66.63,0,0.1666,0,0.2422,74.24,74.32,21.38
242,162,1,31.32,88.93,27.86,70.38,26.8,66.67,0,0.1659,0,0.2422,74.22,74.3,21.97
243,162,2,29.96,87.54,27.91,71.44,27.02,66.72,0,0.1652,0,0.2422,74.22,74.28,22.26
244,162,3,29.29,86.68,27.86,72.56,27.19,66.79,0,0.1646,0,0.2422,74.22,74.27,22.48
245,162,4,27.87,86.25,27.72,73.22,27.3,66.86,0,0.1639,0,0.2422,74.23,74.26,22.49
246,162,5,28.36,86.84,27.7,74.48,27.38,66.94,0,0.1632,0,0.2422,74.23,74.26,22.75
247,162,6,28.29,92.18,27.61,75.41,27.42,67.04,0,0.1626,0,0.2422,74.24,74.25,22.87
248,162,7,28.52,82.25,27.54,75.89,27.45,67.14,0,0.1619,0,0.2422,74.24,74.25,22.9
249,162,8,29.71,78.12,27.66,76.42,27.49,67.24,0,0.1612,0,0.2422,74.24,74.25,23.14
250,162,9,30.23,73.43,25.64,69.14,27.12,67.26,1,0.1606,0,0.2422,74.42,74.27,19.56
251,162,10,32.32,74.19,24.77,64.27,26.65,67.23,1,0.1599,0,0.2422,74.54,74.31,17.57
252,162,11,32.41,76.53,24.35,60.83,26.19,67.16,1,0.1592,0,0.2422,74.6,74.36,16.31
253,162,12,31.39,72.52,24.12,58.99,25.78,67.06,1,0.1586,0,0.2422,74.64,74.41,15.61
254,162,13,30.97,71.48,24.17,57.86,25.46,66.96,1,0.1579,0,0.2422,74.63,74.44,15.35
