"doy","T","RH","LM","PI","EMC","strategy"
42,20.3,49.608,0.977,40.79,9.206,"A"
43,20.226,50.903,0.953,40.038,9.419,"A"
44,20.114,47.708,1.048,43.215,8.905,"A"
45,20.28,48.437,1.005,41.706,9.019,"A"
46,20.272,49.399,0.984,41.02,9.176,"A"
47,19.86,50.229,1.018,42.441,9.318,"A"
48,20.08,49.347,1.017,42.221,9.169,"A"
49,19.603,50.996,1.046,43.526,9.452,"A"
50,18.821,47.166,1.288,51.836,8.858,"A"
51,20.145,51.543,0.951,40.045,9.53,"A"
52,19.966,52.331,0.954,40.29,9.659,"A"
53,19.583,49.516,1.083,44.73,9.207,"A"
54,19.436,49.122,1.113,45.815,9.153,"A"
55,19.935,51.531,0.977,41.046,9.531,"A"
56,19.97,50.385,1.005,41.935,9.34,"A"
57,19.559,50.188,1.065,44.179,9.316,"A"
58,19.621,50.662,1.046,43.504,9.396,"A"
59,20.13,48.452,1.043,42.98,9.027,"A"
60,19.743,46.669,1.142,46.476,8.753,"A"
61,19.588,50.265,1.059,43.963,9.329,"A"
62,19.692,49.201,1.075,44.365,9.158,"A"
63,20.247,50.382,0.962,40.319,9.332,"A"
64,19.886,49.038,1.058,43.663,9.128,"A"
65,20.088,46.488,1.093,44.617,8.717,"A"
66,19.957,50.138,1.016,42.283,9.305,"A"
67,20.793,50.313,0.896,37.798,9.308,"A"
68,20.365,51.811,0.92,38.895,9.561,"A"
69,19.636,48.104,1.115,45.677,8.985,"A"
70,19.674,49.652,1.066,44.131,9.229,"A"
71,19.58,50.01,1.066,44.195,9.286,"A"
72,20.781,49.803,0.908,38.195,9.222,"A"
73,19.965,50.316,1.004,41.92,9.326,"A"
74,20.044,50.201,0.997,41.61,9.305,"A"
75,20.384,49.493,0.963,40.283,9.183,"A"
76,19.923,50.882,0.992,41.551,9.42,"A"
77,20.055,51.278,0.97,40.734,9.486,"A"
78,20.193,49.251,1.004,41.723,9.152,"A"
79,20.539,48.362,0.975,40.52,9.003,"A"
80,20.419,47.906,1.009,41.696,8.935,"A"
81,19.735,48.028,1.098,45.1,8.968,"A"
82,20.691,49.33,0.932,39.046,9.151,"A"
83,20.203,50.286,0.979,40.928,9.32,"A"
84,18.488,48.904,1.282,52.003,9.137,"A"
85,18.768,50.714,1.174,48.34,9.42,"A"
86,19.457,49.825,1.092,45.127,9.263,"A"
87,20.005,47.182,1.086,44.472,8.828,"A"
88,19.916,49.881,1.022,42.515,9.258,"A"
89,20.556,49.7,0.94,39.385,9.214,"A"
90,20.97,51.173,0.851,36.228,9.44,"A"
91,20.264,48.409,1.014,42.007,9.012,"A"
92,20.299,50.678,0.947,39.829,9.377,"A"
93,19.784,49.692,1.048,43.455,9.231,"A"
94,19.173,47.926,1.201,48.798,8.968,"A"
95,19.685,49.698,1.056,43.799,9.233,"A"
96,19.846,50.153,1.023,42.603,9.303,"A"
97,19.362,52.762,1.032,43.264,9.755,"A"
98,19.781,49.29,1.053,43.641,9.165,"A"
99,20.43,50.451,0.94,39.491,9.336,"A"
100,19.541,50.782,1.055,43.859,9.419,"A"
101,20.29,49.37,0.983,40.976,9.169,"A"
102,20.136,48.89,1.025,42.42,9.099,"A"
103,19.683,51.109,1.024,42.755,9.468,"A"
104,19.854,48.747,1.06,43.79,9.079,"A"
105,19.91,49.658,1.035,42.935,9.223,"A"
106,19.436,49.254,1.111,45.727,9.171,"A"
107,19.879,48.838,1.056,43.638,9.095,"A"
108,20.519,50.586,0.92,38.79,9.355,"A"
109,19.3,49.353,1.13,46.489,9.187,"A"
110,19.789,49.926,1.036,43.076,9.269,"A"
111,20.189,50.749,0.969,40.603,9.396,"A"
112,19.165,52.61,1.059,44.324,9.726,"A"
113,19.87,52.63,0.97,40.878,9.711,"A"
114,19.385,49.96,1.098,45.392,9.284,"A"
115,19.661,49.354,1.074,44.38,9.181,"A"
116,20.512,50.06,0.936,39.299,9.273,"A"
117,20.254,49.92,0.983,40.981,9.26,"A"
118,20.47,50.709,0.924,38.943,9.378,"A"
119,19.989,50.837,0.985,41.259,9.412,"A"
120,20.455,48.611,0.985,40.926,9.039,"A"
121,19.164,47.937,1.193,48.576,8.965,"A"
122,20.071,49.433,1.014,42.136,9.183,"A"
123,19.896,50.196,1.013,42.258,9.312,"A"
124,20.866,50.299,0.886,37.425,9.3,"A"
125,20.666,49.578,0.929,38.97,9.19,"A"
126,20.04,50.415,0.991,41.452,9.343,"A"
127,19.408,51.366,1.053,43.931,9.512,"A"
128,19.44,51.578,1.042,43.56,9.547,"A"
129,19.977,48.934,1.047,43.244,9.109,"A"
130,19.934,49.964,1.015,42.283,9.274,"A"
131,20.411,51.86,0.913,38.634,9.569,"A"
132,20.082,51.641,0.955,40.218,9.541,"A"
133,20.175,51.535,0.942,39.759,9.521,"A"
134,20.242,50.595,0.956,40.155,9.362,"A"
135,19.298,51.582,1.066,44.45,9.551,"A"
136,20.101,51.348,0.959,40.347,9.495,"A"
137,19.557,48.916,1.106,45.491,9.112,"A"
138,19.54,49.472,1.085,44.854,9.201,"A"
139,19.984,51.268,0.974,40.919,9.484,"A"
140,21.133,51.212,0.835,35.562,9.443,"A"
141,19.469,49.582,1.094,45.209,9.221,"A"
142,19.004,49.382,1.18,48.288,9.205,"A"
143,19.475,47.179,1.169,47.557,8.838,"A"
144,20.197,50.39,0.974,40.752,9.339,"A"
145,19.721,49.428,1.068,44.137,9.197,"A"
146,19.79,48.565,1.079,44.449,9.054,"A"
147,19.916,48.128,1.074,44.153,8.979,"A"
148,20.152,49.352,1.01,41.946,9.172,"A"
149,19.749,50.043,1.045,43.387,9.293,"A"
150,19.809,50.887,1.01,42.234,9.422,"A"
151,20.878,52.603,0.831,35.626,9.679,"A"
152,20.123,51.756,0.956,40.191,9.573,"A"
153,20.359,48.866,0.989,41.122,9.084,"A"
154,20.477,50.576,0.924,38.95,9.355,"A"
155,19.627,52.765,0.988,41.669,9.737,"A"
156,19.686,51.339,1.017,42.528,9.5,"A"
157,20.542,50.794,0.916,38.616,9.396,"A"
158,20.789,49.769,0.908,38.188,9.219,"A"
159,20.174,52.261,0.934,39.451,9.643,"A"
160,19.298,49.177,1.135,46.64,9.161,"A"
161,20.372,49.707,0.962,40.24,9.218,"A"
162,20.196,48.689,1.02,42.228,9.061,"A"
163,19.557,49.302,1.096,45.167,9.177,"A"
164,20.293,49.555,0.98,40.859,9.197,"A"
165,20.182,49.982,0.981,40.98,9.27,"A"
166,20.523,49.8,0.942,39.461,9.232,"A"
167,19.943,51.94,0.968,40.764,9.594,"A"
168,19.723,48.089,1.097,45.057,8.977,"A"
169,20.131,47.712,1.049,43.196,8.907,"A"
170,19.777,49.176,1.063,43.947,9.146,"A"
171,19.033,50.443,1.134,46.842,9.369,"A"
172,19.656,50.263,1.047,43.544,9.325,"A"
173,19.94,52.544,0.954,40.307,9.697,"A"
174,19.708,50.174,1.052,43.634,9.315,"A"
175,19.39,52.867,1.018,42.811,9.76,"A"
176,19.614,53.393,0.982,41.445,9.851,"A"
177,19.481,49.755,1.092,45.113,9.249,"A"
178,19.48,53.817,0.987,41.707,9.929,"A"
179,19.888,50.742,1.003,41.947,9.398,"A"
180,19.846,51.015,1.01,42.162,9.45,"A"
181,20.127,48.96,1.016,42.154,9.105,"A"
182,19.964,48.106,1.065,43.859,8.974,"A"
183,19.871,50.154,1.021,42.509,9.304,"A"
184,20.062,52.981,0.94,39.744,9.766,"A"
185,19.235,50.575,1.12,46.147,9.398,"A"
186,19.768,49.206,1.064,43.974,9.155,"A"
187,19.886,50.51,1.009,42.111,9.361,"A"
188,20.146,51.199,0.957,40.251,9.469,"A"
189,19.872,53.955,0.935,39.712,9.942,"A"
190,20.019,50.424,0.993,41.51,9.347,"A"
191,20.837,51.052,0.871,36.951,9.426,"A"
192,20.165,49.174,1.03,42.519,9.145,"A"
193,20.181,50.736,0.973,40.714,9.398,"A"
194,20.231,50.621,0.957,40.183,9.371,"A"
195,20.615,49.242,0.948,39.591,9.139,"A"
196,19.858,49.885,1.034,42.945,9.259,"A"
197,20.609,48.008,0.975,40.47,8.942,"A"
198,20.526,50.748,0.916,38.658,9.382,"A"
199,19.354,53.025,1.026,43.133,9.792,"A"
200,19.709,51,1.022,42.676,9.444,"A"
201,19.25,49.177,1.144,46.964,9.161,"A"
202,19.392,49.78,1.113,45.824,9.263,"A"
203,19.553,49.615,1.082,44.744,9.225,"A"
204,20.279,50.829,0.954,40.032,9.403,"A"
205,20.154,48.615,1.023,42.357,9.05,"A"
206,19.996,47.807,1.068,43.925,8.925,"A"
207,20.189,49.961,0.981,40.984,9.267,"A"
208,19.897,49.899,1.032,42.831,9.267,"A"
209,20.611,51.333,0.904,38.153,9.484,"A"
210,19.589,48.138,1.122,45.967,8.985,"A"
211,19.614,49.331,1.082,44.672,9.182,"A"
212,19.692,49.333,1.077,44.464,9.176,"A"
213,19.895,50.74,1.002,41.873,9.406,"A"
214,21.16,51.164,0.832,35.451,9.438,"A"
215,20.197,49.497,0.999,41.58,9.188,"A"
216,19.974,49.65,1.018,42.36,9.217,"A"
217,19.913,48.98,1.061,43.742,9.115,"A"
218,19.844,48.963,1.061,43.801,9.115,"A"
219,19.885,48.561,1.061,43.769,9.049,"A"
220,19.942,48.84,1.05,43.394,9.089,"A"
221,19.574,50.936,1.048,43.615,9.44,"A"
222,20.413,50.865,0.929,39.154,9.404,"A"
223,20.322,50.076,0.962,40.283,9.279,"A"
224,20.654,48.208,0.962,40.037,8.97,"A"
225,20.254,48.797,1.002,41.631,9.074,"A"
226,19.568,50.879,1.041,43.427,9.428,"A"
227,19.733,50.883,1.026,42.793,9.422,"A"
228,19.121,53.626,1.039,43.707,9.899,"A"
229,19.85,51.114,1.003,41.935,9.466,"A"
230,19.651,47.187,1.145,46.615,8.84,"A"
231,19.34,48.263,1.157,47.29,9.013,"A"
232,19.685,49.489,1.063,44.018,9.201,"A"
233,20.134,50.127,0.982,41.078,9.29,"A"
234,19.818,53.033,0.958,40.51,9.783,"A"
235,20.497,51.887,0.892,37.896,9.57,"A"
236,20.575,49.017,0.958,39.941,9.102,"A"
237,19.33,50.95,1.078,44.783,9.45,"A"
238,19.833,50.072,1.03,42.822,9.293,"A"
239,19.782,52.44,0.971,40.981,9.679,"A"
240,19.484,49.631,1.095,45.208,9.231,"A"
241,19.68,49.687,1.065,44.073,9.239,"A"
242,20.294,50.872,0.948,39.849,9.411,"A"
243,19.771,49.374,1.066,44.001,9.186,"A"
244,20.14,47.841,1.049,43.191,8.928,"A"
245,20.024,49.935,1.009,41.998,9.268,"A"
246,19.742,49.193,1.072,44.241,9.154,"A"
247,19.611,46.634,1.161,47.179,8.748,"A"
248,19.985,50.333,1.001,41.778,9.331,"A"
249,20.244,48.363,1.018,42.114,9.007,"A"
250,19.682,48.691,1.103,45.279,9.073,"A"
251,19.187,51.034,1.111,45.934,9.471,"A"
252,19.744,49.324,1.063,43.974,9.174,"A"
253,19.505,49.795,1.097,45.208,9.265,"A"
254,20.031,46.239,1.107,45.106,8.679,"A"
255,20.191,51.45,0.942,39.747,9.508,"A"
256,20.794,51.759,0.863,36.734,9.54,"A"
257,20.244,52.243,0.927,39.174,9.642,"A"
258,20.752,51.652,0.87,36.972,9.525,"A"
259,20.047,50.931,0.983,41.133,9.432,"A"
260,19.861,50.541,1.012,42.221,9.368,"A"
261,20.293,49.933,0.968,40.482,9.257,"A"
262,20.152,50.774,0.965,40.487,9.398,"A"
263,20.205,51.111,0.95,39.96,9.452,"A"
264,20.016,51.935,0.956,40.316,9.595,"A"
265,20.402,50.632,0.94,39.482,9.37,"A"
266,20.707,49.329,0.929,38.932,9.151,"A"
267,19.79,48.837,1.072,44.232,9.094,"A"
268,20.018,51.018,0.977,40.996,9.443,"A"
269,20.943,51.402,0.85,36.215,9.48,"A"
270,20.588,51.221,0.902,38.126,9.466,"A"
271,20.46,48.46,0.982,40.805,9.018,"A"
272,19.607,51.114,1.041,43.352,9.472,"A"
273,19.351,48.259,1.154,47.177,9.012,"A"
274,19.775,49.681,1.052,43.572,9.233,"A"
275,20.23,47.382,1.051,43.168,8.853,"A"
276,19.368,51.218,1.067,44.392,9.494,"A"
277,18.716,51.516,1.156,47.852,9.552,"A"
278,19.775,51.152,1.006,42.111,9.465,"A"
279,20.385,50.778,0.936,39.372,9.396,"A"
280,20.157,47.707,1.053,43.309,8.905,"A"
281,19.217,49.057,1.15,47.183,9.143,"A"
282,19.715,49.61,1.06,43.903,9.219,"A"
283,19.383,47.263,1.176,47.863,8.853,"A"
284,20.372,49.484,0.971,40.524,9.183,"A"
285,20.218,50.694,0.961,40.313,9.388,"A"
286,19.858,47.351,1.112,45.454,8.855,"A"
287,20.239,48.284,1.019,42.173,8.995,"A"
288,20.218,50.876,0.955,40.13,9.416,"A"
289,19.881,50.918,0.995,41.68,9.424,"A"
290,19.734,48.534,1.099,45.106,9.046,"A"
291,19.489,50.648,1.064,44.207,9.395,"A"
292,19.822,50.331,1.019,42.522,9.33,"A"
293,20.241,51.128,0.947,39.847,9.454,"A"
294,20.403,49.665,0.958,40.096,9.211,"A"
295,20.201,52.621,0.921,39.058,9.7,"A"
296,19.537,51.069,1.049,43.699,9.46,"A"
297,19.684,47.217,1.133,46.24,8.84,"A"
298,19.859,48.069,1.078,44.355,8.971,"A"
299,19.793,47.779,1.114,45.522,8.927,"A"
300,19.646,48.561,1.098,45.172,9.054,"A"
301,19.968,48.672,1.046,43.257,9.066,"A"
302,20.714,48.828,0.948,39.519,9.07,"A"
303,20.304,51.425,0.933,39.347,9.503,"A"
304,20.629,50.124,0.919,38.643,9.281,"A"
305,20.619,49.775,0.94,39.329,9.224,"A"
306,19.942,49.436,1.03,42.735,9.189,"A"
307,20.692,51.427,0.882,37.413,9.491,"A"
308,20.227,51.735,0.933,39.422,9.552,"A"
309,19.685,51.329,1.016,42.512,9.502,"A"
310,20.002,51.701,0.964,40.576,9.554,"A"
311,20.988,51.991,0.841,35.883,9.575,"A"
312,19.812,49.425,1.047,43.415,9.186,"A"
313,19.47,47.135,1.171,47.627,8.831,"A"
314,19.587,50.073,1.062,44.063,9.298,"A"
315,20.107,50.643,0.978,40.958,9.378,"A"
316,19.697,50.677,1.027,42.87,9.391,"A"
317,19.842,50.504,1.02,42.507,9.364,"A"
318,19.992,47.995,1.069,43.943,8.956,"A"
319,20.114,49.897,0.992,41.399,9.257,"A"
320,20.368,49.99,0.958,40.116,9.262,"A"
321,19.933,52.993,0.944,39.999,9.768,"A"
322,19.788,50.429,1.02,42.582,9.347,"A"
323,20.699,48.776,0.949,39.558,9.063,"A"
324,19.793,50.613,1.019,42.522,9.382,"A"
325,20.611,49.682,0.93,39.034,9.208,"A"
326,20.844,48.114,0.95,39.49,8.957,"A"
327,20.466,49.792,0.954,39.918,9.229,"A"
328,19.781,49.578,1.056,43.685,9.217,"A"
329,19.37,50.585,1.081,44.854,9.384,"A"
330,20.245,52.589,0.91,38.652,9.691,"A"
331,19.988,51.235,0.973,40.892,9.476,"A"
332,20.163,52.235,0.93,39.368,9.636,"A"
333,20.143,50.533,0.973,40.761,9.357,"A"
334,19.602,49.898,1.069,44.268,9.27,"A"
335,19.225,51.166,1.087,45.165,9.486,"A"
336,19.587,51.392,1.03,43.042,9.515,"A"
337,20.092,49.983,1,41.657,9.271,"A"
338,19.36,48.916,1.138,46.667,9.119,"A"
339,19.445,48.039,1.147,46.875,8.975,"A"
340,19.435,45.725,1.221,49.206,8.614,"A"
341,19.973,51.234,0.991,41.449,9.488,"A"
342,20.291,50.97,0.944,39.725,9.427,"A"
343,20.298,50.939,0.941,39.627,9.418,"A"
344,19.727,51.975,0.998,41.882,9.608,"A"
345,19.595,50.324,1.059,43.945,9.344,"A"
346,19.822,49.912,1.036,43.039,9.269,"A"
347,19.965,47.923,1.079,44.288,8.944,"A"
348,19.73,50.052,1.046,43.422,9.29,"A"
349,19.635,49.824,1.062,44.031,9.255,"A"
350,20.058,49.652,1.009,42.005,9.217,"A"
351,19.889,48.994,1.049,43.387,9.118,"A"
352,20.599,47.96,0.976,40.519,8.933,"A"
353,20.374,49.308,0.972,40.579,9.154,"A"
354,19.901,50.149,1.02,42.482,9.301,"A"
355,19.649,51.889,1.006,42.209,9.59,"A"
356,19.575,52.155,1.016,42.585,9.645,"A"
357,19.848,50.534,1.02,42.506,9.368,"A"
358,19.89,49.811,1.024,42.624,9.247,"A"
359,20.615,49.736,0.931,39.066,9.219,"A"
360,20.37,49.965,0.958,40.107,9.262,"A"
361,19.925,49.624,1.024,42.58,9.215,"A"
362,20.033,50.057,1.006,41.893,9.286,"A"
363,19.967,49.412,1.024,42.553,9.181,"A"
364,19.817,50.539,1.014,42.35,9.368,"A"
365,20.171,52.341,0.926,39.231,9.658,"A"
1,25.558,50.058,0.477,21.338,9.135,"B"
2,25.556,50.305,0.468,21.01,9.172,"B"
3,26.201,48.476,0.459,20.478,8.862,"B"
4,26.293,48.784,0.445,19.931,8.911,"B"
5,26.194,51.204,0.427,19.384,9.295,"B"
6,26.163,47.941,0.459,20.484,8.776,"B"
7,25.61,50.188,0.468,21.013,9.149,"B"
8,25.39,51.185,0.476,21.349,9.316,"B"
9,25.297,49.21,0.502,22.279,9.003,"B"
10,24.927,50.076,0.513,22.812,9.151,"B"
11,25.473,49.784,0.491,21.883,9.084,"B"
12,24.945,51.581,0.494,22.142,9.391,"B"
13,26.606,50.245,0.41,18.632,9.124,"B"
14,26.471,50.121,0.423,19.121,9.113,"B"
15,25.251,50.2,0.494,22.037,9.162,"B"
16,25.267,51.856,0.471,21.242,9.435,"B"
17,25.855,50.712,0.454,20.402,9.231,"B"
18,25.719,49.386,0.473,21.15,9.017,"B"
19,26.519,48.92,0.433,19.458,8.922,"B"
20,25.68,50.987,0.46,20.719,9.274,"B"
21,25.476,49.056,0.495,21.958,8.975,"B"
22,25.98,49.738,0.46,20.599,9.07,"B"
23,25.479,48.295,0.503,22.261,8.851,"B"
24,25.212,49.793,0.502,22.334,9.099,"B"
25,26.266,51.126,0.419,19.066,9.286,"B"
26,25.771,50.728,0.456,20.53,9.231,"B"
27,25.787,49.429,0.474,21.123,9.022,"B"
28,25.866,48.242,0.477,21.204,8.833,"B"
29,26.243,53.401,0.405,18.573,9.649,"B"
30,26.303,52.534,0.402,18.447,9.501,"B"
31,26.849,49.273,0.411,18.572,8.962,"B"
32,26.276,49.064,0.445,19.961,8.949,"B"
33,25.528,50.696,0.473,21.183,9.236,"B"
34,25.261,50.501,0.487,21.813,9.211,"B"
35,26.189,51.016,0.425,19.298,9.264,"B"
36,25.637,49.955,0.482,21.435,9.12,"B"
37,26.055,50.579,0.439,19.824,9.198,"B"
38,26.625,49.163,0.42,18.984,8.955,"B"
39,26.53,52.123,0.398,18.242,9.432,"B"
40,25.549,49.381,0.492,21.819,9.027,"B"
41,26.28,47.233,0.464,20.61,8.666,"B"
42,26.3,49.608,0.438,19.694,9.037,"B"
43,26.226,50.903,0.425,19.26,9.247,"B"
44,26.114,47.708,0.465,20.739,8.742,"B"
45,26.28,48.437,0.447,20.033,8.854,"B"
46,26.272,49.399,0.439,19.744,9.009,"B"
47,25.86,50.229,0.452,20.343,9.15,"B"
48,26.08,49.347,0.455,20.384,9.001,"B"
49,25.603,50.996,0.468,20.99,9.283,"B"
50,24.821,47.166,0.573,24.868,8.704,"B"
51,26.145,51.543,0.423,19.251,9.356,"B"
52,25.966,52.331,0.426,19.4,9.484,"B"
53,25.583,49.516,0.483,21.503,9.041,"B"
54,25.436,49.122,0.492,21.881,8.992,"B"
55,25.935,51.531,0.435,19.72,9.359,"B"
56,25.97,50.385,0.45,20.233,9.171,"B"
57,25.559,50.188,0.474,21.221,9.15,"B"
58,25.621,50.662,0.466,20.931,9.228,"B"
59,26.13,48.452,0.469,20.817,8.863,"B"
60,25.743,46.669,0.51,22.38,8.595,"B"
61,25.588,50.265,0.47,21.086,9.163,"B"
62,25.692,49.201,0.478,21.299,8.994,"B"
63,26.247,50.382,0.428,19.383,9.162,"B"
64,25.886,49.038,0.474,21.094,8.963,"B"
65,26.088,46.488,0.486,21.435,8.558,"B"
66,25.957,50.138,0.455,20.412,9.138,"B"
67,26.793,50.313,0.4,18.209,9.135,"B"
68,26.365,51.811,0.413,18.835,9.384,"B"
69,25.636,48.104,0.496,21.918,8.824,"B"
70,25.674,49.652,0.476,21.262,9.064,"B"
71,25.58,50.01,0.474,21.215,9.12,"B"
72,26.781,49.803,0.405,18.388,9.05,"B"
73,25.965,50.316,0.448,20.172,9.156,"B"
74,26.044,50.201,0.445,20.054,9.135,"B"
75,26.384,49.493,0.428,19.338,9.014,"B"
76,25.923,50.882,0.441,19.941,9.25,"B"
77,26.055,51.278,0.434,19.646,9.314,"B"
78,26.193,49.251,0.45,20.158,8.985,"B"
79,26.539,48.362,0.433,19.451,8.837,"B"
80,26.419,47.906,0.452,20.128,8.771,"B"
81,25.735,48.028,0.488,21.646,8.807,"B"
82,26.691,49.33,0.418,18.892,8.981,"B"
83,26.203,50.286,0.44,19.813,9.15,"B"
84,24.488,48.904,0.568,24.866,8.981,"B"
85,24.768,50.714,0.519,23.078,9.256,"B"
86,25.457,49.825,0.486,21.676,9.098,"B"
87,26.005,47.182,0.484,21.407,8.667,"B"
88,25.916,49.881,0.455,20.432,9.09,"B"
89,26.556,49.7,0.419,18.972,9.043,"B"
90,26.97,51.173,0.38,17.469,9.262,"B"
91,26.264,48.409,0.454,20.302,8.846,"B"
92,26.299,50.678,0.422,19.175,9.204,"B"
93,25.784,49.692,0.468,20.935,9.065,"B"
94,25.173,47.926,0.536,23.469,8.81,"B"
95,25.685,49.698,0.467,20.945,9.068,"B"
96,25.846,50.153,0.454,20.445,9.135,"B"
97,25.362,52.762,0.46,20.81,9.584,"B"
98,25.781,49.29,0.467,20.904,8.999,"B"
99,26.43,50.451,0.422,19.096,9.162,"B"
100,25.541,50.782,0.468,21.017,9.252,"B"
101,26.29,49.37,0.44,19.763,9.001,"B"
102,26.136,48.89,0.46,20.515,8.934,"B"
103,25.683,51.109,0.454,20.475,9.299,"B"
104,25.854,48.747,0.472,21.048,8.915,"B"
105,25.91,49.658,0.463,20.732,9.056,"B"
106,25.436,49.254,0.493,21.919,9.008,"B"
107,25.879,48.838,0.471,20.974,8.932,"B"
108,26.519,50.586,0.409,18.615,9.181,"B"
109,25.3,49.353,0.503,22.322,9.023,"B"
110,25.789,49.926,0.459,20.63,9.101,"B"
111,26.189,50.749,0.435,19.632,9.224,"B"
112,25.165,52.61,0.469,21.185,9.556,"B"
113,25.87,52.63,0.435,19.773,9.535,"B"
114,25.385,49.96,0.489,21.791,9.119,"B"
115,25.661,49.354,0.478,21.336,9.016,"B"
116,26.512,50.06,0.418,18.922,9.101,"B"
117,26.254,49.92,0.442,19.858,9.091,"B"
118,26.47,50.709,0.412,18.747,9.204,"B"
119,25.989,50.837,0.438,19.827,9.241,"B"
120,26.455,48.611,0.442,19.803,8.871,"B"
121,25.164,47.937,0.528,23.238,8.807,"B"
122,26.071,49.433,0.451,20.248,9.016,"B"
123,25.896,50.196,0.449,20.232,9.144,"B"
124,26.866,50.299,0.398,18.118,9.125,"B"
125,26.666,49.578,0.417,18.853,9.019,"B"
126,26.04,50.415,0.443,19.975,9.173,"B"
127,25.408,51.366,0.467,21.038,9.342,"B"
128,25.44,51.578,0.461,20.802,9.378,"B"
129,25.977,48.934,0.47,20.917,8.943,"B"
130,25.934,49.964,0.448,20.218,9.104,"B"
131,26.411,51.86,0.411,18.714,9.39,"B"
132,26.082,51.641,0.426,19.376,9.368,"B"
133,26.175,51.535,0.42,19.119,9.348,"B"
134,26.242,50.595,0.426,19.328,9.189,"B"
135,25.298,51.582,0.474,21.32,9.381,"B"
136,26.101,51.348,0.428,19.42,9.322,"B"
137,25.557,48.916,0.494,21.919,8.949,"B"
138,25.54,49.472,0.481,21.473,9.036,"B"
139,25.984,51.268,0.431,19.561,9.313,"B"
140,27.133,51.212,0.375,17.221,9.264,"B"
141,25.469,49.582,0.486,21.673,9.057,"B"
142,25.004,49.382,0.524,23.132,9.044,"B"
143,25.475,47.179,0.52,22.829,8.681,"B"
144,26.197,50.39,0.435,19.637,9.169,"B"
145,25.721,49.428,0.477,21.26,9.033,"B"
146,25.79,48.565,0.482,21.411,8.891,"B"
147,25.916,48.128,0.479,21.27,8.816,"B"
148,26.152,49.352,0.453,20.275,9.006,"B"
149,25.749,50.043,0.465,20.857,9.126,"B"
150,25.809,50.887,0.447,20.218,9.252,"B"
151,26.878,52.603,0.37,17.119,9.498,"B"
152,26.123,51.756,0.43,19.453,9.401,"B"
153,26.359,48.866,0.443,19.864,8.917,"B"
154,26.477,50.576,0.411,18.73,9.182,"B"
155,25.627,52.765,0.439,20.002,9.561,"B"
156,25.686,51.339,0.451,20.383,9.329,"B"
157,26.542,50.794,0.409,18.618,9.223,"B"
158,26.789,49.769,0.406,18.422,9.046,"B"
159,26.174,52.261,0.418,19.06,9.467,"B"
160,25.298,49.177,0.505,22.377,9,"B"
161,26.372,49.707,0.427,19.289,9.049,"B"
162,26.196,48.689,0.457,20.418,8.895,"B"
163,25.557,49.302,0.489,21.743,9.013,"B"
164,26.293,49.555,0.438,19.697,9.029,"B"
165,26.182,49.982,0.437,19.7,9.102,"B"
166,26.523,49.8,0.421,19.028,9.062,"B"
167,25.943,51.94,0.432,19.646,9.42,"B"
168,25.723,48.089,0.486,21.575,8.814,"B"
169,26.131,47.712,0.466,20.748,8.745,"B"
170,25.777,49.176,0.474,21.164,8.981,"B"
171,25.033,50.443,0.5,22.316,9.204,"B"
