"date","Temp","RH","Tmin","Tmax","RHmin","RHmax","DP","AH","LIM","LM","LMfix","PI","EMC"
2024-02-01,22.197,39.901,21.5,23,32.2,48.2,7.92,7.824,75.021,1.078,0.988,39.726,7.66
2024-02-02,22.574,41.403,21.8,23.4,35,45.3,8.803,8.296,74.936,1.065,0.894,36.531,7.878
2024-02-03,22.77,38.325,22.4,23.2,33.3,41.5,7.839,7.766,74.894,1.093,0.962,38.517,7.41
2024-02-04,22.308,34.647,22,22.7,27.9,40,5.959,6.837,74.995,1.13,1.169,45.12,6.865
2024-02-05,21.915,35.048,21.6,22.3,32.6,38.2,5.779,6.761,75.088,1.126,1.216,46.846,6.934
2024-02-06,21.748,34.977,21.4,22.1,32.3,39.4,5.602,6.683,75.128,1.127,1.248,47.928,6.926
2024-02-07,21.693,35.62,21.1,22.1,29.8,42,5.817,6.784,75.142,1.12,1.228,47.389,7.025
2024-02-08,21.743,38.786,21.1,22.1,33.9,44.5,7.099,7.409,75.13,1.089,1.092,43.249,7.502
2024-02-09,21.377,44.88,20.3,22.4,33.8,57.3,8.917,8.393,75.222,1.037,0.95,39.125,8.434
2024-02-10,21.949,35.752,21.3,22.2,29.5,40.3,6.097,6.911,75.079,1.119,1.179,45.727,7.04
2024-02-11,21.669,31.182,21.1,21.9,23.8,34.9,3.887,5.931,75.148,1.171,1.465,54.295,6.345
2024-02-12,21.567,34.269,21,22.1,29.8,38.8,5.148,6.479,75.174,1.134,1.314,50.039,6.822
2024-02-13,21.753,39.527,21.2,22.3,33.5,45.8,7.385,7.555,75.127,1.082,1.064,42.383,7.614
2024-02-14,21.803,41.493,21.4,22.3,33.9,49.1,8.142,7.953,75.115,1.064,0.992,40.124,7.909
2024-02-15,22.113,50.346,20.9,22.7,46.8,56,11.308,9.824,75.041,0.998,0.739,31.817,9.271
2024-02-16,22.369,47.888,21.8,22.8,37.2,56.6,10.789,9.483,74.982,1.015,0.761,32.4,8.875
2024-02-17,22.092,37.37,21.6,22.6,34.3,41.1,6.866,7.283,75.045,1.102,1.092,42.976,7.281
2024-02-18,21.718,38.626,21.1,22,34.4,45,7.016,7.367,75.136,1.09,1.101,43.564,7.479
2024-02-19,21.449,40.644,21.2,21.7,34,47.2,7.52,7.633,75.204,1.072,1.07,42.816,7.789
2024-02-20,21.474,43.834,20.9,22.2,36.8,56.8,8.655,8.244,75.197,1.045,0.966,39.576,8.272
2024-02-21,20.722,40.674,20.4,21.1,37.6,44.9,6.878,7.323,75.402,1.071,1.182,46.871,7.809
2024-02-22,21.294,44.273,20.7,22.3,39.9,51.1,8.639,8.24,75.244,1.042,0.978,40.078,8.343
2024-02-23,21.431,44.078,20.9,22.5,27.9,56.2,8.699,8.269,75.208,1.043,0.965,39.568,8.31
2024-02-24,20.684,44.941,19.1,21.6,29,55.7,8.307,8.073,75.412,1.036,1.044,42.621,8.46
2024-02-25,20.429,38.198,18.4,21.4,34.4,41.5,5.705,6.761,75.487,1.094,1.336,51.782,7.441
2024-02-26,20.918,34.831,19,21.3,28.5,38.8,4.81,6.343,75.346,1.128,1.408,53.402,6.92
2024-02-27,21.139,34.535,20.7,21.9,31.8,40.4,4.882,6.37,75.286,1.131,1.38,52.388,6.871
2024-02-28,21.042,42.047,20.7,21.4,29.6,54.3,7.652,7.712,75.312,1.06,1.083,43.555,8.01
2024-02-29,21.226,40.274,20,21.7,33.2,51.1,7.186,7.466,75.262,1.075,1.117,44.433,7.738
2024-03-01,21.151,34.538,20.9,21.6,28.1,37.7,4.894,6.375,75.282,1.131,1.378,52.302,6.871
2024-03-02,21.23,35.292,20.8,21.7,28.3,39.7,5.275,6.544,75.261,1.123,1.325,50.679,6.984
2024-03-03,21.204,35.632,20.7,21.7,31.4,41.5,5.39,6.597,75.268,1.12,1.313,50.359,7.037
2024-03-04,21.125,37.847,20.8,21.5,33.3,43.4,6.191,6.975,75.289,1.097,1.228,47.885,7.374
2024-03-05,21.193,40.858,20.7,22,36.5,49.2,7.367,7.56,75.271,1.07,1.101,43.981,7.827
2024-03-06,21.199,35.148,20.5,21.7,31.6,39.2,5.188,6.506,75.27,1.125,1.338,51.086,6.963
2024-03-07,21.323,40.473,20.8,22.1,32.9,48.3,7.345,7.545,75.237,1.073,1.095,43.681,7.766
2024-03-08,21.762,41.805,21.5,22.4,35.7,45.7,8.216,7.994,75.125,1.062,0.988,40.027,7.957
2024-03-09,21.683,38.53,21.2,22.3,34,44.7,6.949,7.334,75.144,1.091,1.11,43.861,7.465
2024-03-10,22.368,48.043,21.9,23,44.3,52.3,10.836,9.513,74.982,1.014,0.758,32.3,8.899
2024-03-11,22.406,42.33,22.1,22.8,37.6,46.3,8.981,8.4,74.973,1.057,0.889,36.483,8.021
2024-03-12,22.047,34.185,21.5,22.6,28.9,42.3,5.535,6.645,75.056,1.135,1.233,47.242,6.8
2024-03-13,22.119,34.801,21.3,22.7,31.8,37.5,5.856,6.793,75.039,1.129,1.193,45.993,6.892
2024-03-14,21.114,41.709,19.4,22.3,33.8,46.2,7.598,7.682,75.293,1.062,1.084,43.513,7.957
2024-03-15,21.928,41.848,21.6,22.2,37.5,46.1,8.38,8.079,75.084,1.061,0.964,39.168,7.96
2024-03-16,21.868,34.801,21.1,22.4,32,39.6,5.635,6.695,75.099,1.129,1.235,47.455,6.897
2024-03-17,21.896,40.026,21.5,22.1,33.7,45.4,7.696,7.713,75.092,1.077,1.026,41.116,7.686
2024-03-18,22.123,43.629,21.6,22.5,41.7,47.2,9.173,8.518,75.038,1.047,0.889,36.668,8.225
2024-03-19,21.868,39.157,21.7,22.2,36.6,42.2,7.349,7.534,75.099,1.085,1.06,42.176,7.555
2024-03-20,21.772,32.124,21.5,22,28.8,36.8,4.401,6.146,75.122,1.159,1.389,52.029,6.489
2024-03-21,21.402,28.351,21.2,21.8,21,39.4,2.31,5.31,75.216,1.208,1.72,61.742,5.903
2024-03-22,21.158,28.907,20.9,21.4,26.4,31.3,2.373,5.338,75.28,1.201,1.735,62.432,5.996
2024-03-23,21.069,26.632,20.7,21.5,23.1,30.3,1.149,4.892,75.305,1.234,1.954,68.531,5.63
2024-03-24,21.25,25.829,20.8,21.7,24.1,27,0.878,4.795,75.256,1.247,1.983,69.074,5.496
2024-03-25,21.092,25.022,20.9,21.3,20.5,28.1,0.304,4.603,75.299,1.26,2.112,72.732,5.364
2024-03-26,20.839,27.102,20.5,21.2,21.2,30,1.196,4.913,75.369,1.227,1.972,69.318,5.711
2024-03-27,20.839,29.473,20.5,21.2,27.4,32.2,2.369,5.342,75.369,1.193,1.768,63.742,6.091
2024-03-28,20.765,30.307,20.6,21,27.8,32.7,2.698,5.47,75.39,1.182,1.723,62.566,6.224
2024-03-29,20.358,24.885,20,20.6,21.2,29.4,-0.394,4.386,75.508,1.262,2.356,80.196,5.352
2024-03-30,19.96,30.224,19.8,20.1,23.9,34.8,1.962,5.205,75.631,1.183,1.935,69.433,6.224
2024-03-31,19.857,31.03,19.7,20,29,32.7,2.241,5.312,75.664,1.172,1.897,68.517,6.353
2024-04-01,19.739,31.104,19.5,19.9,28.9,33.5,2.171,5.287,75.703,1.171,1.923,69.389,6.366
2024-04-02,20.074,36.507,19.8,20.4,33.4,40.5,4.738,6.329,75.596,1.111,1.49,56.664,7.191
2024-04-03,20.461,36.194,20.3,20.7,33.6,40.2,4.958,6.418,75.478,1.114,1.427,54.428,7.136
2024-04-04,20.689,34.679,20.3,21.1,29.6,39.6,4.546,6.231,75.411,1.13,1.462,55.204,6.901
2024-04-05,21.124,32.529,20.7,21.5,29,34,4.014,5.995,75.29,1.154,1.495,55.72,6.563
2024-04-06,21.451,40.057,21.3,21.6,33.5,49.9,7.309,7.523,75.203,1.077,1.09,43.432,7.7
2024-04-07,21.507,36.547,21.1,21.8,33.9,40.6,6.024,6.886,75.189,1.11,1.218,47.27,7.169
2024-04-08,21.686,41.031,21.5,21.8,36.9,46.5,7.873,7.812,75.144,1.068,1.023,41.171,7.842
2024-04-09,21.6,42.908,21.4,21.8,40.1,45.4,8.454,8.129,75.165,1.053,0.976,39.798,8.128
2024-04-10,21.379,43.009,21.1,21.6,40.8,45.9,8.289,8.044,75.222,1.052,1.004,40.816,8.149
2024-04-11,21.369,43.069,21,21.7,41.5,44.5,8.3,8.051,75.225,1.051,1.003,40.813,8.158
2024-04-12,21.51,41.296,21.2,21.8,38.9,43.1,7.809,7.783,75.188,1.066,1.039,41.818,7.886
2024-04-13,20.667,32.151,19.8,21.4,27.7,42.6,3.448,5.77,75.418,1.159,1.618,59.709,6.513
2024-04-14,19.35,29.605,18.8,19.8,27.8,33.1,1.144,4.919,75.833,1.191,2.165,76.583,6.136
2024-04-15,18.718,34.803,18.2,19.1,32.7,37.5,2.858,5.571,76.059,1.128,1.918,70.602,6.956
2024-04-16,18.651,42.478,18.1,19,38,45.4,5.644,6.773,76.083,1.056,1.494,58.34,8.127
2024-04-17,18.452,44.024,18,18.6,41.1,47,5.98,6.937,76.159,1.043,1.467,57.739,8.369
2024-04-18,18.253,46.326,17.7,18.7,42.7,48.9,6.539,7.214,76.236,1.026,1.412,56.283,8.73
2024-04-19,18.169,42.726,17.7,18.6,36.1,48.8,5.292,6.62,76.27,1.054,1.588,61.688,8.175
2024-04-20,17.943,39.01,17.5,18.3,34.9,43.3,3.787,5.964,76.361,1.086,1.845,69.548,7.612
2024-04-21,17.931,39.243,17.5,18.2,35.8,43.2,3.861,5.995,76.365,1.084,1.834,69.238,7.647
2024-04-22,17.969,42.005,17.5,18.3,37.3,44.8,4.867,6.432,76.35,1.059,1.67,64.374,8.068
2024-04-23,18.2,44.893,17.7,18.6,41.1,47.1,6.034,6.969,76.257,1.036,1.482,58.476,8.508
2024-04-24,18.443,43.692,18,18.8,42.1,45.4,5.862,6.881,76.162,1.046,1.484,58.248,8.318
2024-04-25,18.183,44.017,17.9,18.4,42.8,45.7,5.734,6.826,76.264,1.043,1.524,59.767,8.373
2024-04-26,18.146,43.888,17.6,18.6,40.3,47.1,5.658,6.791,76.279,1.044,1.538,60.232,8.354
2024-04-27,18.254,47.033,18,18.5,43,51.6,6.76,7.325,76.236,1.02,1.384,55.429,8.841
2024-04-28,17.582,50.585,17,18.2,45.2,53.8,7.206,7.569,76.511,0.996,1.386,56.173,9.425
2024-04-29,16.91,54.293,16.7,17,51,60.2,7.62,7.804,76.809,0.972,1.391,57.068,10.06
2024-04-30,16.454,54.223,16.2,16.7,49.8,58.3,7.177,7.583,77.025,0.973,1.487,60.614,10.059
2024-05-01,16.344,54.424,16,16.7,51,57.9,7.128,7.561,77.079,0.972,1.504,61.26,10.096
2024-05-02,16.53,49.76,16.1,16.9,46.9,52.4,5.998,6.991,76.988,1.001,1.645,65.402,9.314
2024-05-03,16.62,51.214,16.5,16.7,45.8,55.7,6.498,7.234,76.945,0.992,1.564,62.814,9.549
2024-05-04,16.761,52.746,16.5,17,47.1,56.7,7.058,7.514,76.878,0.982,1.475,59.883,9.801
2024-05-05,16.993,43.005,16.5,17.4,35.8,50.5,4.322,6.212,76.771,1.051,1.861,71.285,8.24
2024-05-06,16.751,44.524,16.3,17,39,50.5,4.599,6.339,76.883,1.039,1.842,71.036,8.48
2024-05-07,17.107,52.432,16.5,17.6,50,54.3,7.292,7.626,76.719,0.984,1.415,57.611,9.74
2024-05-08,17.778,51.707,17.3,18.2,48.8,54.3,7.708,7.828,76.428,0.989,1.31,53.589,9.604
2024-05-09,18.396,49.674,17.9,18.8,43.4,55.2,7.689,7.801,76.181,1.002,1.264,51.541,9.258
2024-05-10,18.484,47.661,18,18.8,35.7,57,7.164,7.525,76.146,1.016,1.317,53.113,8.935
2024-05-11,17.686,33.649,17.5,17.9,31.4,35.6,1.476,5.066,76.467,1.141,2.319,83.324,6.795
2024-05-12,17.363,35.955,17,17.6,33,39.2,2.118,5.31,76.606,1.116,2.228,81.295,7.155
2024-05-13,17.098,38.538,16.7,17.3,33.7,43.4,2.859,5.602,76.724,1.09,2.114,78.477,7.554
2024-05-14,16.546,38.869,16.2,16.8,36.8,41.3,2.486,5.466,76.981,1.087,2.263,83.56,7.614
2024-05-15,16.6,42.142,16,17.1,38.1,45.9,3.678,5.945,76.955,1.058,2.021,76.532,8.115
2024-05-16,16.898,44.001,16.6,17.2,41.8,47.3,4.563,6.32,76.815,1.043,1.831,70.53,8.396
2024-05-17,17.244,49.141,16.8,17.7,46.5,51.3,6.472,7.206,76.658,1.005,1.51,60.399,9.198
2024-05-18,18.142,48.618,17.3,19,41.8,55.5,7.141,7.521,76.28,1.009,1.347,54.4,9.094
2024-05-19,19.05,54.361,18.3,19.8,47.5,58.5,9.627,8.874,75.938,0.972,1.025,43.328,10.018
2024-05-20,20.137,51.391,19.5,20.7,44.4,55.7,9.796,8.942,75.576,0.991,0.947,39.932,9.493
2024-05-21,20.866,49.049,20.4,21.3,41,54.8,9.771,8.905,75.361,1.007,0.909,38.172,9.097
2024-05-22,21.059,44.491,20.8,21.4,34.4,54.4,8.499,8.169,75.307,1.04,1.004,41.071,8.382
2024-05-23,20.755,40.358,20.5,21,35,47.2,6.795,7.28,75.392,1.074,1.189,47.04,7.761
2024-05-24,20.603,44.529,20.3,20.9,41.1,47.6,8.098,7.962,75.436,1.039,1.069,43.457,8.399
2024-05-25,20.923,44.845,20.4,21.4,40.3,48.3,8.493,8.169,75.345,1.037,1.013,41.451,8.44
2024-05-26,21.345,45.139,20.8,21.9,39.2,50.3,8.972,8.426,75.231,1.035,0.947,39.059,8.475
2024-05-27,21.656,45.971,21.3,22,42.5,48.9,9.527,8.737,75.151,1.029,0.886,36.886,8.595
2024-05-28,21.455,39.459,21,21.7,31.9,47.6,7.093,7.413,75.202,1.082,1.111,44.067,7.61
2024-05-29,21.386,37.711,20.9,21.7,29.5,46.8,6.372,7.056,75.22,1.099,1.19,46.508,7.348
2024-05-30,21.331,39.847,20.9,21.7,35,47,7.125,7.432,75.234,1.079,1.116,44.321,7.671
2024-05-31,21.453,38.639,21.1,21.8,35.3,44.3,6.785,7.258,75.203,1.09,1.142,45.015,7.486
2024-06-01,21.524,42.444,21.1,21.9,38.5,46.3,8.225,8.005,75.185,1.056,1.001,40.618,8.059
2024-06-02,21.748,40.445,21.3,22.1,37,46.4,7.716,7.728,75.128,1.074,1.033,41.449,7.752
2024-06-03,21.757,43.152,21.5,21.9,38.4,47.5,8.68,8.249,75.126,1.051,0.948,38.803,8.161
2024-06-04,21.057,41.316,20.8,21.4,36.7,46.2,7.409,7.585,75.308,1.066,1.106,44.239,7.899
2024-06-05,20.562,40.193,20.3,20.8,35.3,47,6.562,7.169,75.448,1.076,1.228,48.393,7.74
2024-06-06,19.785,42.408,19.5,20.2,35.9,50.7,6.644,7.229,75.687,1.056,1.277,50.592,8.093
2024-06-07,19.526,49.439,19.2,19.8,47,53.3,8.658,8.3,75.773,1.004,1.085,44.847,9.193
2024-06-08,19.308,46.318,19.1,19.5,43,48.5,7.499,7.677,75.847,1.026,1.217,49.21,8.705
2024-06-09,19.182,44.077,18.8,19.5,41.3,52.8,6.66,7.252,75.891,1.043,1.321,52.546,8.361
2024-06-10,19.019,55.763,18.8,19.3,52.7,57.7,9.978,9.086,75.949,0.964,0.996,42.407,10.261
2024-06-11,18.885,59.475,18.7,19.1,54.8,64.9,10.82,9.615,75.997,0.944,0.933,40.441,10.935
2024-06-12,19.094,64.67,18.9,19.3,60.8,68.4,12.283,10.584,75.922,0.918,0.813,36.219,11.957
2024-06-13,19.467,60.144,19.1,19.8,53.3,66.1,11.535,10.062,75.793,0.94,0.848,37.143,11.043
2024-06-14,19.905,59.968,19.6,20.2,55.9,64.1,11.903,10.294,75.649,0.941,0.8,35.24,10.997
2024-06-15,20.181,57.562,19.8,20.5,52.9,61.2,11.541,10.042,75.562,0.954,0.812,35.454,10.546
2024-06-16,20.531,57.595,20.2,20.9,53.4,61.7,11.877,10.255,75.457,0.954,0.773,33.904,10.542
2024-06-17,20.744,59.742,20.5,21,55.7,65.1,12.633,10.769,75.395,0.942,0.715,31.823,10.928
2024-06-18,20.658,62.26,20.4,20.8,57.8,66.8,13.184,11.168,75.42,0.93,0.686,30.866,11.415
2024-06-19,20.48,58.076,20.2,20.6,54.6,63.6,11.956,10.31,75.472,0.951,0.77,33.84,10.63
2024-06-20,20.557,55.96,20.3,20.8,54,57.1,11.465,9.979,75.449,0.963,0.799,34.78,10.252
2024-06-21,20.766,55.411,20.5,21.1,48.1,63.4,11.51,10.002,75.389,0.966,0.786,34.216,10.15
2024-06-22,20.979,48.56,20.6,21.4,46.2,52.8,9.725,8.874,75.329,1.01,0.906,38.01,9.017
2024-06-23,21.432,52.864,20.9,22,50.7,57,11.418,9.918,75.208,0.982,0.762,32.988,9.7
2024-06-24,22.199,55.929,21.6,22.7,53.7,59.3,12.987,10.968,75.02,0.964,0.637,28.334,10.197
2024-06-25,22.818,55.718,22.3,23.2,52.2,58.5,13.505,11.321,74.884,0.965,0.588,26.337,10.141
2024-06-26,23.21,57.279,22.7,23.8,52.3,62,14.297,11.902,74.804,0.956,0.537,24.403,10.401
2024-06-27,23.032,53.381,22.8,23.3,47.3,60.2,13.047,10.98,74.84,0.979,0.603,26.768,9.739
2024-06-28,22.579,44.825,22.3,22.7,38.8,48.9,9.989,8.984,74.935,1.037,0.806,33.72,8.396
2024-06-29,22.071,41.538,21.7,22.3,38.4,45.6,8.399,8.086,75.05,1.064,0.954,38.765,7.91
2024-06-30,21.757,53.462,21.4,22,41.4,64.2,11.889,10.22,75.126,0.978,0.718,31.319,9.79
2024-07-01,21.776,55.674,21.6,21.9,51.4,58.9,12.523,10.655,75.121,0.965,0.679,30.005,10.166
2024-07-02,21.599,55.649,21.3,21.8,50.9,60.8,12.351,10.542,75.165,0.965,0.696,30.69,10.167
2024-07-03,21.464,52.857,21.2,21.6,47.1,58.7,11.445,9.935,75.2,0.982,0.759,32.863,9.698
2024-07-04,21.301,63.28,21.2,21.4,57.4,67,14.041,11.782,75.242,0.925,0.614,28.014,11.597
2024-07-05,21.411,52.165,21.2,21.7,41.3,64.3,11.197,9.775,75.214,0.986,0.777,33.517,9.585
2024-07-06,21.189,44.475,21,21.3,40.1,47.3,8.611,8.227,75.272,1.04,0.987,40.425,8.377
2024-07-07,20.899,46.781,20.6,21.1,40.3,58.4,9.097,8.51,75.352,1.023,0.962,39.855,8.74
2024-07-08,20.992,63.369,20.8,21.2,58.4,67.9,13.77,11.589,75.326,0.924,0.64,29.082,11.625
2024-07-09,21.119,65.341,21,21.2,62.6,67.2,14.364,12.038,75.291,0.915,0.604,27.758,12.03
2024-07-10,20.997,51.194,20.9,21.1,43.3,62.1,10.532,9.365,75.324,0.992,0.844,35.975,9.438
2024-07-11,20.796,45.055,20.6,21,42.4,47.2,8.446,8.147,75.381,1.035,1.025,41.921,8.475
2024-07-12,20.91,45.682,20.5,21.3,41.6,49.8,8.755,8.315,75.348,1.031,0.99,40.755,8.569
2024-07-13,21.219,46.954,20.8,21.6,40.8,56.3,9.443,8.701,75.264,1.021,0.916,38.146,8.759
2024-07-14,21.455,54.543,21.3,21.6,48.2,60.6,11.912,10.247,75.202,0.972,0.729,31.881,9.981
2024-07-15,21.349,50.553,21.2,21.4,47.1,54.6,10.667,9.439,75.23,0.997,0.817,34.857,9.325
2024-07-16,21.453,55.602,21.2,21.8,54,58.6,12.203,10.444,75.203,0.965,0.711,31.281,10.163
2024-07-17,21.944,56.499,21.5,22.4,52.1,60.8,12.904,10.918,75.081,0.96,0.651,28.955,10.304
2024-07-18,22.202,53.407,21.9,22.6,49.5,56.6,12.286,10.475,75.02,0.979,0.676,29.66,9.768
2024-07-19,22.143,52.85,21.9,22.4,44.2,58,12.071,10.33,75.033,0.982,0.691,30.196,9.677
2024-07-20,21.876,41.487,21.6,22.1,38,46.9,8.206,7.986,75.097,1.064,0.982,39.766,7.907
2024-07-21,21.8,39.049,21.5,22.1,35.8,42.4,7.248,7.483,75.115,1.086,1.074,42.652,7.541
2024-07-22,21.914,43.845,21.5,22.3,41.8,46.1,9.057,8.458,75.088,1.045,0.909,37.452,8.263
2024-07-23,22.034,46.681,21.7,22.3,39.6,55.4,10.101,9.068,75.059,1.023,0.824,34.65,8.696
2024-07-24,22.279,56.074,22,22.5,52.9,58.8,13.101,11.047,75.002,0.963,0.628,27.98,10.22
2024-07-25,22.2,62.622,21.9,22.3,58.1,66.8,14.729,12.281,75.02,0.928,0.55,25.302,11.434
2024-07-26,21.892,56.254,21.7,22.1,52,59.5,12.789,10.838,75.093,0.962,0.659,29.27,10.263
2024-07-27,21.629,62.996,21.4,21.8,57.4,67.4,14.282,11.954,75.158,0.926,0.59,27.009,11.528
2024-07-28,21.485,48.805,21.3,21.7,41.7,57.3,10.265,9.185,75.194,1.008,0.839,35.494,9.042
2024-07-29,21.323,46.019,20.8,21.7,43.1,51.3,9.239,8.579,75.237,1.028,0.926,38.417,8.611
2024-07-30,21.872,45.909,21.2,22.5,40.7,51.7,9.703,8.835,75.098,1.029,0.861,35.954,8.58
2024-07-31,22.798,53.579,22.1,23.8,48.2,62.4,12.887,10.874,74.888,0.978,0.62,27.455,9.779
2024-08-01,23.156,54.354,22.9,23.4,50.4,63.5,13.439,11.26,74.815,0.973,0.579,25.889,9.898
2024-08-02,22.946,46.805,22.6,23.2,40.8,50.4,10.972,9.58,74.858,1.023,0.724,30.858,8.691
2024-08-03,22.859,43.288,22.6,23.1,36.4,49.3,9.722,8.816,74.875,1.05,0.811,33.725,8.155
2024-08-04,22.753,45.936,22.5,23,38.7,50.6,10.514,9.299,74.898,1.029,0.762,32.202,8.562
2024-08-05,22.805,48.736,22.3,23.2,38.5,57.9,11.453,9.895,74.887,1.009,0.701,30.156,8.996
2024-08-06,23.077,60.679,22.7,23.6,52.9,66.9,15.067,12.513,74.831,0.938,0.508,23.419,11.027
2024-08-07,23.541,51.575,23.1,24,44.7,56.3,12.99,10.92,74.741,0.99,0.589,26.019,9.428
2024-08-08,24.099,56.21,23.7,24.5,50.1,59.9,14.835,12.285,74.643,0.962,0.488,22.287,10.185
2024-08-09,24.2,59.259,23.7,24.6,55.8,62.4,15.752,13.026,74.626,0.945,0.449,20.879,10.724
2024-08-10,24.587,61.452,23.9,25,58.1,65.4,16.686,13.807,74.565,0.934,0.406,19.199,11.121
2024-08-11,25.146,61.584,24.6,25.7,56.3,66,17.246,14.279,74.485,0.934,0.376,17.894,11.126
2024-08-12,25.6,61.417,25.3,26.1,55.6,64.7,17.631,14.607,74.426,0.934,0.355,16.976,11.076
2024-08-13,25.66,59.376,25.2,26.2,54.6,62.4,17.152,14.17,74.419,0.945,0.368,17.431,10.693
2024-08-14,25.148,57.797,24.6,25.7,52.6,62.2,16.248,13.402,74.484,0.954,0.408,19.061,10.427
2024-08-15,24.475,61.549,24,24.9,57.3,66.4,16.605,13.741,74.582,0.934,0.412,19.435,11.143
2024-08-16,24.329,61.448,23.8,24.6,55.9,67.5,16.442,13.606,74.605,0.934,0.421,19.819,11.129
2024-08-17,24.202,56.556,23.9,24.4,54.6,58.7,15.026,12.433,74.626,0.96,0.477,21.871,10.242
2024-08-18,23.966,56.466,23.7,24.4,53.3,59.7,14.781,12.248,74.666,0.961,0.494,22.553,10.234
2024-08-19,24.008,64.577,23.4,24.3,56.4,71.6,16.921,14.042,74.658,0.919,0.412,19.617,11.764
2024-08-20,23.742,54.59,23.2,24.1,43.7,71.2,14.049,11.692,74.705,0.972,0.532,23.98,9.919
2024-08-21,23.759,53.286,23.4,24.1,49.3,60.5,13.694,11.424,74.702,0.98,0.548,24.513,9.701
2024-08-22,23.504,49.852,23.2,23.7,44.2,53.2,12.438,10.534,74.748,1.001,0.618,27.039,9.152
2024-08-23,23.248,49.679,23,23.5,46.1,52.8,12.15,10.345,74.797,1.003,0.643,28.006,9.132
2024-08-24,23.21,52.094,22.9,23.6,47.8,59.7,12.839,10.825,74.804,0.987,0.608,26.832,9.522
2024-08-25,23.014,58.373,22.6,23.3,52,65.3,14.406,11.994,74.844,0.95,0.539,24.536,10.603
